source_image_id,source_path,split,true_label,generator,condition,severity,output_path,width,height,mode,output_format,transform_parameters
pilot_000010,data/processed/controlled_v1/images/Real/pilot_000010.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000010.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000014,data/processed/controlled_v1/images/Real/pilot_000014.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000014.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000014,data/processed/controlled_v1/images/Real/pilot_000014.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000014.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000014,data/processed/controlled_v1/images/Real/pilot_000014.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000014.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000014,data/processed/controlled_v1/images/Real/pilot_000014.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000014.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000014,data/processed/controlled_v1/images/Real/pilot_000014.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000014.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000014,data/processed/controlled_v1/images/Real/pilot_000014.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000014.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000014,data/processed/controlled_v1/images/Real/pilot_000014.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000014.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000014,data/processed/controlled_v1/images/Real/pilot_000014.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000014.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000024,data/processed/controlled_v1/images/Real/pilot_000024.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000024.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000024,data/processed/controlled_v1/images/Real/pilot_000024.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000024.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000024,data/processed/controlled_v1/images/Real/pilot_000024.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000024.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000024,data/processed/controlled_v1/images/Real/pilot_000024.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000024.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000024,data/processed/controlled_v1/images/Real/pilot_000024.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000024.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000024,data/processed/controlled_v1/images/Real/pilot_000024.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000024.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000024,data/processed/controlled_v1/images/Real/pilot_000024.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000024.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000024,data/processed/controlled_v1/images/Real/pilot_000024.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000024.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000048,data/processed/controlled_v1/images/Real/pilot_000048.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000048.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000048,data/processed/controlled_v1/images/Real/pilot_000048.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000048.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000048,data/processed/controlled_v1/images/Real/pilot_000048.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000048.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000048,data/processed/controlled_v1/images/Real/pilot_000048.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000048.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000048,data/processed/controlled_v1/images/Real/pilot_000048.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000048.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000048,data/processed/controlled_v1/images/Real/pilot_000048.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000048.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000048,data/processed/controlled_v1/images/Real/pilot_000048.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000048.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000048,data/processed/controlled_v1/images/Real/pilot_000048.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000048.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000050,data/processed/controlled_v1/images/Real/pilot_000050.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000050.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000050,data/processed/controlled_v1/images/Real/pilot_000050.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000050.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000050,data/processed/controlled_v1/images/Real/pilot_000050.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000050.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000050,data/processed/controlled_v1/images/Real/pilot_000050.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000050.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000050,data/processed/controlled_v1/images/Real/pilot_000050.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000050.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000050,data/processed/controlled_v1/images/Real/pilot_000050.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000050.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000050,data/processed/controlled_v1/images/Real/pilot_000050.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000050.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000050,data/processed/controlled_v1/images/Real/pilot_000050.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000050.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000054,data/processed/controlled_v1/images/Real/pilot_000054.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000054.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000054,data/processed/controlled_v1/images/Real/pilot_000054.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000054.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000054,data/processed/controlled_v1/images/Real/pilot_000054.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000054.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000054,data/processed/controlled_v1/images/Real/pilot_000054.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000054.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000054,data/processed/controlled_v1/images/Real/pilot_000054.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000054.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000054,data/processed/controlled_v1/images/Real/pilot_000054.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000054.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000054,data/processed/controlled_v1/images/Real/pilot_000054.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000054.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000054,data/processed/controlled_v1/images/Real/pilot_000054.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000054.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000078,data/processed/controlled_v1/images/Real/pilot_000078.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000078.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000078,data/processed/controlled_v1/images/Real/pilot_000078.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000078.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000078,data/processed/controlled_v1/images/Real/pilot_000078.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000078.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000078,data/processed/controlled_v1/images/Real/pilot_000078.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000078.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000078,data/processed/controlled_v1/images/Real/pilot_000078.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000078.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000078,data/processed/controlled_v1/images/Real/pilot_000078.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000078.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000078,data/processed/controlled_v1/images/Real/pilot_000078.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000078.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000078,data/processed/controlled_v1/images/Real/pilot_000078.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000078.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000084,data/processed/controlled_v1/images/Real/pilot_000084.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000084.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000084,data/processed/controlled_v1/images/Real/pilot_000084.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000084.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000084,data/processed/controlled_v1/images/Real/pilot_000084.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000084.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000084,data/processed/controlled_v1/images/Real/pilot_000084.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000084.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000084,data/processed/controlled_v1/images/Real/pilot_000084.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000084.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000084,data/processed/controlled_v1/images/Real/pilot_000084.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000084.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000084,data/processed/controlled_v1/images/Real/pilot_000084.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000084.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000084,data/processed/controlled_v1/images/Real/pilot_000084.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000084.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000094,data/processed/controlled_v1/images/Real/pilot_000094.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000094.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000094,data/processed/controlled_v1/images/Real/pilot_000094.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000094.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000094,data/processed/controlled_v1/images/Real/pilot_000094.jpg,known_test,0,Real,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000094.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000094,data/processed/controlled_v1/images/Real/pilot_000094.jpg,known_test,0,Real,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000094.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000094,data/processed/controlled_v1/images/Real/pilot_000094.jpg,known_test,0,Real,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000094.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000094,data/processed/controlled_v1/images/Real/pilot_000094.jpg,known_test,0,Real,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000094.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000094,data/processed/controlled_v1/images/Real/pilot_000094.jpg,known_test,0,Real,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000094.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000094,data/processed/controlled_v1/images/Real/pilot_000094.jpg,known_test,0,Real,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000094.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000099,data/processed/controlled_v1/images/ADM/pilot_000099.jpg,known_test,1,ADM,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000099.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000099,data/processed/controlled_v1/images/ADM/pilot_000099.jpg,known_test,1,ADM,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000099.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000099,data/processed/controlled_v1/images/ADM/pilot_000099.jpg,known_test,1,ADM,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000099.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000099,data/processed/controlled_v1/images/ADM/pilot_000099.jpg,known_test,1,ADM,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000099.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000099,data/processed/controlled_v1/images/ADM/pilot_000099.jpg,known_test,1,ADM,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000099.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000099,data/processed/controlled_v1/images/ADM/pilot_000099.jpg,known_test,1,ADM,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000099.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000099,data/processed/controlled_v1/images/ADM/pilot_000099.jpg,known_test,1,ADM,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000099.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000099,data/processed/controlled_v1/images/ADM/pilot_000099.jpg,known_test,1,ADM,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000099.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000101,data/processed/controlled_v1/images/BigGAN/pilot_000101.jpg,known_test,1,BigGAN,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000101.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000101,data/processed/controlled_v1/images/BigGAN/pilot_000101.jpg,known_test,1,BigGAN,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000101.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000101,data/processed/controlled_v1/images/BigGAN/pilot_000101.jpg,known_test,1,BigGAN,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000101.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000101,data/processed/controlled_v1/images/BigGAN/pilot_000101.jpg,known_test,1,BigGAN,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000101.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000101,data/processed/controlled_v1/images/BigGAN/pilot_000101.jpg,known_test,1,BigGAN,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000101.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000101,data/processed/controlled_v1/images/BigGAN/pilot_000101.jpg,known_test,1,BigGAN,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000101.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000101,data/processed/controlled_v1/images/BigGAN/pilot_000101.jpg,known_test,1,BigGAN,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000101.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000101,data/processed/controlled_v1/images/BigGAN/pilot_000101.jpg,known_test,1,BigGAN,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000101.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000103,data/processed/controlled_v1/images/GLIDE/pilot_000103.jpg,known_test,1,GLIDE,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000103.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000103,data/processed/controlled_v1/images/GLIDE/pilot_000103.jpg,known_test,1,GLIDE,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000103.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
pilot_000103,data/processed/controlled_v1/images/GLIDE/pilot_000103.jpg,known_test,1,GLIDE,crop_75,strong,data/processed/robustness_v1/known_test/crop_75/pilot_000103.png,224,224,RGB,PNG,"{""crop_size"": 168, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.75}"
pilot_000103,data/processed/controlled_v1/images/GLIDE/pilot_000103.jpg,known_test,1,GLIDE,crop_90,mild,data/processed/robustness_v1/known_test/crop_90/pilot_000103.png,224,224,RGB,PNG,"{""crop_size"": 202, ""resample"": ""LANCZOS"", ""resize_to"": 224, ""retain_fraction"": 0.9}"
pilot_000103,data/processed/controlled_v1/images/GLIDE/pilot_000103.jpg,known_test,1,GLIDE,jpeg_q50,strong,data/processed/robustness_v1/known_test/jpeg_q50/pilot_000103.jpg,224,224,RGB,JPEG,"{""quality"": 50}"
pilot_000103,data/processed/controlled_v1/images/GLIDE/pilot_000103.jpg,known_test,1,GLIDE,jpeg_q75,mild,data/processed/robustness_v1/known_test/jpeg_q75/pilot_000103.jpg,224,224,RGB,JPEG,"{""quality"": 75}"
pilot_000103,data/processed/controlled_v1/images/GLIDE/pilot_000103.jpg,known_test,1,GLIDE,resize_112,strong,data/processed/robustness_v1/known_test/resize_112/pilot_000103.png,224,224,RGB,PNG,"{""downsample_to"": 112, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000103,data/processed/controlled_v1/images/GLIDE/pilot_000103.jpg,known_test,1,GLIDE,resize_160,mild,data/processed/robustness_v1/known_test/resize_160/pilot_000103.png,224,224,RGB,PNG,"{""downsample_to"": 160, ""resample"": ""LANCZOS"", ""restore_to"": 224}"
pilot_000104,data/processed/controlled_v1/images/Real/pilot_000104.jpg,known_test,0,Real,blur_sigma1,mild,data/processed/robustness_v1/known_test/blur_sigma1/pilot_000104.png,224,224,RGB,PNG,"{""sigma"": 1.0}"
pilot_000104,data/processed/controlled_v1/images/Real/pilot_000104.jpg,known_test,0,Real,blur_sigma2,strong,data/processed/robustness_v1/known_test/blur_sigma2/pilot_000104.png,224,224,RGB,PNG,"{""sigma"": 2.0}"
