image_id,path,label,generator,generator_id,original_dataset,original_split,original_filename,shard,file_size
pilot_000021,data/raw/tiny-genimage/images/Midjourney/0_midjourney_199.png,1,Midjourney,4,Tiny-GenImage,train,0_midjourney_199.png,data/train-00000-of-00014.parquet,1046926
pilot_000022,data/raw/tiny-genimage/images/Real/n01440764_6169.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_6169.JPEG,data/train-00000-of-00014.parquet,19798
pilot_000023,data/raw/tiny-genimage/images/SD15/001_sdv5_00188.png,1,SD15,6,Tiny-GenImage,train,001_sdv5_00188.png,data/train-00000-of-00014.parquet,415934
pilot_000024,data/raw/tiny-genimage/images/Real/n01440764_8045.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_8045.JPEG,data/train-00000-of-00014.parquet,53858
pilot_000025,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_002_vqdm_00088.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_002_vqdm_00088.png,data/train-00000-of-00014.parquet,85432
pilot_000026,data/raw/tiny-genimage/images/Real/n01440764_2577.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_2577.JPEG,data/train-00000-of-00014.parquet,134151
pilot_000027,data/raw/tiny-genimage/images/Wukong/0_wukong_image123.png,1,Wukong,8,Tiny-GenImage,train,0_wukong_image123.png,data/train-00000-of-00014.parquet,481576
pilot_000028,data/raw/tiny-genimage/images/Real/n01440764_21052.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_21052.JPEG,data/train-00000-of-00014.parquet,150353
pilot_000029,data/raw/tiny-genimage/images/ADM/100_adm_168.PNG,1,ADM,1,Tiny-GenImage,train,100_adm_168.PNG,data/train-00000-of-00014.parquet,146802
pilot_000030,data/raw/tiny-genimage/images/Real/n01443537_6853.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_6853.JPEG,data/train-00000-of-00014.parquet,136056
pilot_000031,data/raw/tiny-genimage/images/BigGAN/002_biggan_00010.png,1,BigGAN,2,Tiny-GenImage,train,002_biggan_00010.png,data/train-00000-of-00014.parquet,19276
pilot_000032,data/raw/tiny-genimage/images/Real/n01443537_12060.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_12060.JPEG,data/train-00000-of-00014.parquet,38673
pilot_000033,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00118.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_002_glide_00118.png,data/train-00000-of-00014.parquet,52829
pilot_000034,data/raw/tiny-genimage/images/Real/n01440764_8013.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_8013.JPEG,data/train-00000-of-00014.parquet,143261
pilot_000035,data/raw/tiny-genimage/images/Midjourney/100_midjourney_32.png,1,Midjourney,4,Tiny-GenImage,train,100_midjourney_32.png,data/train-00000-of-00014.parquet,1120010
pilot_000036,data/raw/tiny-genimage/images/Real/n01443537_21051.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_21051.JPEG,data/train-00000-of-00014.parquet,78624
pilot_000037,data/raw/tiny-genimage/images/SD15/002_sdv5_00037.png,1,SD15,6,Tiny-GenImage,train,002_sdv5_00037.png,data/train-00000-of-00014.parquet,496496
pilot_000038,data/raw/tiny-genimage/images/Real/n01443537_13771.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_13771.JPEG,data/train-00000-of-00014.parquet,118733
pilot_000039,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_002_vqdm_00166.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_002_vqdm_00166.png,data/train-00000-of-00014.parquet,123981
pilot_000040,data/raw/tiny-genimage/images/Real/n01491361_6788.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_6788.JPEG,data/train-00000-of-00014.parquet,89546
pilot_000041,data/raw/tiny-genimage/images/Wukong/100_wukong_image108.png,1,Wukong,8,Tiny-GenImage,train,100_wukong_image108.png,data/train-00000-of-00014.parquet,378949
pilot_000042,data/raw/tiny-genimage/images/Real/n01440764_31953.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_31953.JPEG,data/train-00000-of-00014.parquet,199564
pilot_000043,data/raw/tiny-genimage/images/ADM/101_adm_49.PNG,1,ADM,1,Tiny-GenImage,train,101_adm_49.PNG,data/train-00000-of-00014.parquet,166980
pilot_000044,data/raw/tiny-genimage/images/Real/n01484850_24809.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_24809.JPEG,data/train-00000-of-00014.parquet,113146
pilot_000045,data/raw/tiny-genimage/images/BigGAN/002_biggan_00163.png,1,BigGAN,2,Tiny-GenImage,train,002_biggan_00163.png,data/train-00000-of-00014.parquet,18024
pilot_000046,data/raw/tiny-genimage/images/Real/n01443537_12193.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_12193.JPEG,data/train-00000-of-00014.parquet,57125
pilot_000047,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00172.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_002_glide_00172.png,data/train-00000-of-00014.parquet,61504
pilot_000048,data/raw/tiny-genimage/images/Real/n01443537_17070.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_17070.JPEG,data/train-00000-of-00014.parquet,89831
pilot_000049,data/raw/tiny-genimage/images/Midjourney/101_midjourney_40.png,1,Midjourney,4,Tiny-GenImage,train,101_midjourney_40.png,data/train-00000-of-00014.parquet,1225713
pilot_000050,data/raw/tiny-genimage/images/Real/n01484850_10900.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_10900.JPEG,data/train-00000-of-00014.parquet,106113
pilot_000051,data/raw/tiny-genimage/images/SD15/002_sdv5_00069.png,1,SD15,6,Tiny-GenImage,train,002_sdv5_00069.png,data/train-00000-of-00014.parquet,427162
pilot_000052,data/raw/tiny-genimage/images/Real/n01443537_883.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_883.JPEG,data/train-00000-of-00014.parquet,17204
pilot_000053,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_003_vqdm_00157.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_003_vqdm_00157.png,data/train-00000-of-00014.parquet,70963
pilot_000054,data/raw/tiny-genimage/images/Real/n01491361_8042.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_8042.JPEG,data/train-00000-of-00014.parquet,140929
pilot_000055,data/raw/tiny-genimage/images/Wukong/100_wukong_image111.png,1,Wukong,8,Tiny-GenImage,train,100_wukong_image111.png,data/train-00000-of-00014.parquet,267912
pilot_000056,data/raw/tiny-genimage/images/Real/n01440764_3273.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_3273.JPEG,data/train-00000-of-00014.parquet,44266
pilot_000057,data/raw/tiny-genimage/images/ADM/101_adm_56.PNG,1,ADM,1,Tiny-GenImage,train,101_adm_56.PNG,data/train-00000-of-00014.parquet,173523
pilot_000058,data/raw/tiny-genimage/images/Real/n01491361_7778.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_7778.JPEG,data/train-00000-of-00014.parquet,122500
pilot_000059,data/raw/tiny-genimage/images/BigGAN/003_biggan_00052.png,1,BigGAN,2,Tiny-GenImage,train,003_biggan_00052.png,data/train-00000-of-00014.parquet,14701
pilot_000060,data/raw/tiny-genimage/images/Real/n01443537_12234.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_12234.JPEG,data/train-00000-of-00014.parquet,157299
pilot_000061,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_003_glide_00175.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_003_glide_00175.png,data/train-00000-of-00014.parquet,55645
pilot_000062,data/raw/tiny-genimage/images/Real/n01443537_23104.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_23104.JPEG,data/train-00000-of-00014.parquet,153277
pilot_000063,data/raw/tiny-genimage/images/Midjourney/102_midjourney_134.png,1,Midjourney,4,Tiny-GenImage,train,102_midjourney_134.png,data/train-00000-of-00014.parquet,1668746
pilot_000064,data/raw/tiny-genimage/images/Real/n01484850_11263.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_11263.JPEG,data/train-00000-of-00014.parquet,124046
pilot_000065,data/raw/tiny-genimage/images/SD15/002_sdv5_00138.png,1,SD15,6,Tiny-GenImage,train,002_sdv5_00138.png,data/train-00000-of-00014.parquet,495997
pilot_000066,data/raw/tiny-genimage/images/Real/n01443537_9799.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_9799.JPEG,data/train-00000-of-00014.parquet,75197
pilot_000067,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_004_vqdm_00018.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_004_vqdm_00018.png,data/train-00000-of-00014.parquet,60937
pilot_000068,data/raw/tiny-genimage/images/Real/n01494475_248.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_248.JPEG,data/train-00000-of-00014.parquet,115202
pilot_000069,data/raw/tiny-genimage/images/Wukong/100_wukong_image19.png,1,Wukong,8,Tiny-GenImage,train,100_wukong_image19.png,data/train-00000-of-00014.parquet,422390
pilot_000070,data/raw/tiny-genimage/images/Real/n01443537_860.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_860.JPEG,data/train-00000-of-00014.parquet,6462
pilot_000071,data/raw/tiny-genimage/images/ADM/102_adm_12.PNG,1,ADM,1,Tiny-GenImage,train,102_adm_12.PNG,data/train-00000-of-00014.parquet,180348
pilot_000072,data/raw/tiny-genimage/images/Real/n01491361_8276.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_8276.JPEG,data/train-00000-of-00014.parquet,112543
pilot_000073,data/raw/tiny-genimage/images/BigGAN/003_biggan_00058.png,1,BigGAN,2,Tiny-GenImage,train,003_biggan_00058.png,data/train-00000-of-00014.parquet,18849
pilot_000074,data/raw/tiny-genimage/images/Real/n01484850_32144.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_32144.JPEG,data/train-00000-of-00014.parquet,104044
pilot_000075,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_006_glide_00167.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_006_glide_00167.png,data/train-00000-of-00014.parquet,78212
pilot_000076,data/raw/tiny-genimage/images/Real/n01443537_24148.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_24148.JPEG,data/train-00000-of-00014.parquet,148494
pilot_000077,data/raw/tiny-genimage/images/Midjourney/102_midjourney_96.png,1,Midjourney,4,Tiny-GenImage,train,102_midjourney_96.png,data/train-00000-of-00014.parquet,1181009
pilot_000078,data/raw/tiny-genimage/images/Real/n01484850_12507.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_12507.JPEG,data/train-00000-of-00014.parquet,160794
pilot_000079,data/raw/tiny-genimage/images/SD15/003_sdv5_00037.png,1,SD15,6,Tiny-GenImage,train,003_sdv5_00037.png,data/train-00000-of-00014.parquet,412771
pilot_000080,data/raw/tiny-genimage/images/Real/n01484850_16339.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_16339.JPEG,data/train-00000-of-00014.parquet,77658
pilot_000081,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_004_vqdm_00115.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_004_vqdm_00115.png,data/train-00000-of-00014.parquet,83962
pilot_000082,data/raw/tiny-genimage/images/Real/n01494475_3482.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_3482.JPEG,data/train-00000-of-00014.parquet,91804
pilot_000083,data/raw/tiny-genimage/images/Wukong/100_wukong_image49.png,1,Wukong,8,Tiny-GenImage,train,100_wukong_image49.png,data/train-00000-of-00014.parquet,374251
pilot_000084,data/raw/tiny-genimage/images/Real/n01491361_11372.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_11372.JPEG,data/train-00000-of-00014.parquet,108348
pilot_000085,data/raw/tiny-genimage/images/ADM/103_adm_118.PNG,1,ADM,1,Tiny-GenImage,train,103_adm_118.PNG,data/train-00000-of-00014.parquet,156118
pilot_000086,data/raw/tiny-genimage/images/Real/n01494475_20271.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_20271.JPEG,data/train-00000-of-00014.parquet,106573
pilot_000087,data/raw/tiny-genimage/images/BigGAN/004_biggan_00054.png,1,BigGAN,2,Tiny-GenImage,train,004_biggan_00054.png,data/train-00000-of-00014.parquet,22685
pilot_000088,data/raw/tiny-genimage/images/Real/n01491361_11353.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_11353.JPEG,data/train-00000-of-00014.parquet,69761
pilot_000089,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_007_glide_00011.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_007_glide_00011.png,data/train-00000-of-00014.parquet,86245
pilot_000090,data/raw/tiny-genimage/images/Real/n01443537_24543.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_24543.JPEG,data/train-00000-of-00014.parquet,73941
pilot_000091,data/raw/tiny-genimage/images/Midjourney/104_midjourney_113.png,1,Midjourney,4,Tiny-GenImage,train,104_midjourney_113.png,data/train-00000-of-00014.parquet,886597
pilot_000092,data/raw/tiny-genimage/images/Real/n01484850_24749.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_24749.JPEG,data/train-00000-of-00014.parquet,173993
pilot_000093,data/raw/tiny-genimage/images/SD15/003_sdv5_00084.png,1,SD15,6,Tiny-GenImage,train,003_sdv5_00084.png,data/train-00000-of-00014.parquet,369482
pilot_000094,data/raw/tiny-genimage/images/Real/n01484850_1948.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_1948.JPEG,data/train-00000-of-00014.parquet,21697
pilot_000095,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_004_vqdm_00188.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_004_vqdm_00188.png,data/train-00000-of-00014.parquet,56276
pilot_000096,data/raw/tiny-genimage/images/Real/n01496331_15695.JPEG,0,Real,0,Tiny-GenImage,train,n01496331_15695.JPEG,data/train-00000-of-00014.parquet,92862
pilot_000097,data/raw/tiny-genimage/images/Wukong/102_wukong_image93.png,1,Wukong,8,Tiny-GenImage,train,102_wukong_image93.png,data/train-00000-of-00014.parquet,612986
pilot_000098,data/raw/tiny-genimage/images/Real/n01491361_2993.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_2993.JPEG,data/train-00000-of-00014.parquet,65310
pilot_000099,data/raw/tiny-genimage/images/ADM/103_adm_187.PNG,1,ADM,1,Tiny-GenImage,train,103_adm_187.PNG,data/train-00000-of-00014.parquet,81210
pilot_000100,data/raw/tiny-genimage/images/Real/n01498041_1932.JPEG,0,Real,0,Tiny-GenImage,train,n01498041_1932.JPEG,data/train-00000-of-00014.parquet,197920
pilot_000101,data/raw/tiny-genimage/images/BigGAN/004_biggan_00068.png,1,BigGAN,2,Tiny-GenImage,train,004_biggan_00068.png,data/train-00000-of-00014.parquet,20412
pilot_000102,data/raw/tiny-genimage/images/Real/n01494475_19044.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_19044.JPEG,data/train-00000-of-00014.parquet,72869
pilot_000103,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_009_glide_00072.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_009_glide_00072.png,data/train-00000-of-00014.parquet,76257
pilot_000104,data/raw/tiny-genimage/images/Real/n01491361_3057.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_3057.JPEG,data/train-00000-of-00014.parquet,25177
pilot_000105,data/raw/tiny-genimage/images/Midjourney/104_midjourney_49.png,1,Midjourney,4,Tiny-GenImage,train,104_midjourney_49.png,data/train-00000-of-00014.parquet,1563520
pilot_000106,data/raw/tiny-genimage/images/Real/n01484850_4416.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_4416.JPEG,data/train-00000-of-00014.parquet,59484
pilot_000107,data/raw/tiny-genimage/images/SD15/004_sdv5_00066.png,1,SD15,6,Tiny-GenImage,train,004_sdv5_00066.png,data/train-00000-of-00014.parquet,480753
pilot_000108,data/raw/tiny-genimage/images/Real/n01484850_21180.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_21180.JPEG,data/train-00000-of-00014.parquet,102359
pilot_000109,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_005_vqdm_00052.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_005_vqdm_00052.png,data/train-00000-of-00014.parquet,135656
pilot_000110,data/raw/tiny-genimage/images/Real/n01496331_7068.JPEG,0,Real,0,Tiny-GenImage,train,n01496331_7068.JPEG,data/train-00000-of-00014.parquet,21857
pilot_000111,data/raw/tiny-genimage/images/Wukong/103_wukong_image13.png,1,Wukong,8,Tiny-GenImage,train,103_wukong_image13.png,data/train-00000-of-00014.parquet,474131
pilot_000112,data/raw/tiny-genimage/images/Real/n01491361_7654.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_7654.JPEG,data/train-00000-of-00014.parquet,85201
pilot_000113,data/raw/tiny-genimage/images/ADM/103_adm_48.PNG,1,ADM,1,Tiny-GenImage,train,103_adm_48.PNG,data/train-00000-of-00014.parquet,59635
pilot_000114,data/raw/tiny-genimage/images/Real/n01498041_2018.JPEG,0,Real,0,Tiny-GenImage,train,n01498041_2018.JPEG,data/train-00000-of-00014.parquet,337941
pilot_000115,data/raw/tiny-genimage/images/BigGAN/005_biggan_00086.png,1,BigGAN,2,Tiny-GenImage,train,005_biggan_00086.png,data/train-00000-of-00014.parquet,16970
pilot_000116,data/raw/tiny-genimage/images/Real/n01494475_433.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_433.JPEG,data/train-00000-of-00014.parquet,604543
pilot_000117,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_010_glide_00137.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_010_glide_00137.png,data/train-00000-of-00014.parquet,68549
pilot_000118,data/raw/tiny-genimage/images/Real/n01491361_7790.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_7790.JPEG,data/train-00000-of-00014.parquet,70276
pilot_000119,data/raw/tiny-genimage/images/Midjourney/105_midjourney_36.png,1,Midjourney,4,Tiny-GenImage,train,105_midjourney_36.png,data/train-00000-of-00014.parquet,1294989
pilot_000120,data/raw/tiny-genimage/images/Real/n01491361_14674.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_14674.JPEG,data/train-00000-of-00014.parquet,56455
pilot_000121,data/raw/tiny-genimage/images/SD15/004_sdv5_00140.png,1,SD15,6,Tiny-GenImage,train,004_sdv5_00140.png,data/train-00000-of-00014.parquet,488999
pilot_000122,data/raw/tiny-genimage/images/Real/n01484850_5013.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_5013.JPEG,data/train-00000-of-00014.parquet,55073
pilot_000123,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_005_vqdm_00180.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_005_vqdm_00180.png,data/train-00000-of-00014.parquet,79995
pilot_000124,data/raw/tiny-genimage/images/Real/n01498041_11149.JPEG,0,Real,0,Tiny-GenImage,train,n01498041_11149.JPEG,data/train-00000-of-00014.parquet,203918
pilot_000125,data/raw/tiny-genimage/images/Wukong/103_wukong_image81.png,1,Wukong,8,Tiny-GenImage,train,103_wukong_image81.png,data/train-00000-of-00014.parquet,410918
pilot_000126,data/raw/tiny-genimage/images/Real/n01494475_11816.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_11816.JPEG,data/train-00000-of-00014.parquet,23617
pilot_000127,data/raw/tiny-genimage/images/ADM/104_adm_28.PNG,1,ADM,1,Tiny-GenImage,train,104_adm_28.PNG,data/train-00000-of-00014.parquet,148970
pilot_000128,data/raw/tiny-genimage/images/Real/n01514668_14876.JPEG,0,Real,0,Tiny-GenImage,train,n01514668_14876.JPEG,data/train-00000-of-00014.parquet,104611
pilot_000129,data/raw/tiny-genimage/images/BigGAN/006_biggan_00005.png,1,BigGAN,2,Tiny-GenImage,train,006_biggan_00005.png,data/train-00000-of-00014.parquet,20717
pilot_000130,data/raw/tiny-genimage/images/Real/n01496331_14320.JPEG,0,Real,0,Tiny-GenImage,train,n01496331_14320.JPEG,data/train-00000-of-00014.parquet,64723
pilot_000131,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_011_glide_00161.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_011_glide_00161.png,data/train-00000-of-00014.parquet,48943
pilot_000132,data/raw/tiny-genimage/images/Real/n01491361_8375.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_8375.JPEG,data/train-00000-of-00014.parquet,214731
pilot_000133,data/raw/tiny-genimage/images/Midjourney/105_midjourney_83.png,1,Midjourney,4,Tiny-GenImage,train,105_midjourney_83.png,data/train-00000-of-00014.parquet,1967063
pilot_000134,data/raw/tiny-genimage/images/Real/n01494475_4791.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_4791.JPEG,data/train-00000-of-00014.parquet,171076
pilot_000135,data/raw/tiny-genimage/images/SD15/008_sdv5_00013.png,1,SD15,6,Tiny-GenImage,train,008_sdv5_00013.png,data/train-00000-of-00014.parquet,457719
pilot_000136,data/raw/tiny-genimage/images/Real/n01484850_6538.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_6538.JPEG,data/train-00000-of-00014.parquet,79594
pilot_000137,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_006_vqdm_00068.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_006_vqdm_00068.png,data/train-00000-of-00014.parquet,101252
pilot_000138,data/raw/tiny-genimage/images/Real/n01498041_2880.JPEG,0,Real,0,Tiny-GenImage,train,n01498041_2880.JPEG,data/train-00000-of-00014.parquet,138961
pilot_000139,data/raw/tiny-genimage/images/Wukong/104_wukong_image192.png,1,Wukong,8,Tiny-GenImage,train,104_wukong_image192.png,data/train-00000-of-00014.parquet,503228
pilot_000140,data/raw/tiny-genimage/images/Real/n01494475_15684.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_15684.JPEG,data/train-00000-of-00014.parquet,176652
pilot_000141,data/raw/tiny-genimage/images/ADM/104_adm_66.PNG,1,ADM,1,Tiny-GenImage,train,104_adm_66.PNG,data/train-00000-of-00014.parquet,157499
pilot_000142,data/raw/tiny-genimage/images/Real/n01514668_16603.JPEG,0,Real,0,Tiny-GenImage,train,n01514668_16603.JPEG,data/train-00000-of-00014.parquet,142584
pilot_000143,data/raw/tiny-genimage/images/BigGAN/006_biggan_00097.png,1,BigGAN,2,Tiny-GenImage,train,006_biggan_00097.png,data/train-00000-of-00014.parquet,33692
pilot_000144,data/raw/tiny-genimage/images/Real/n01498041_12415.JPEG,0,Real,0,Tiny-GenImage,train,n01498041_12415.JPEG,data/train-00000-of-00014.parquet,191647
pilot_000145,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_013_glide_00106.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_013_glide_00106.png,data/train-00000-of-00014.parquet,76005
pilot_000146,data/raw/tiny-genimage/images/Real/n01494475_4835.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_4835.JPEG,data/train-00000-of-00014.parquet,74999
pilot_000147,data/raw/tiny-genimage/images/Midjourney/107_midjourney_10.png,1,Midjourney,4,Tiny-GenImage,train,107_midjourney_10.png,data/train-00000-of-00014.parquet,1148940
pilot_000148,data/raw/tiny-genimage/images/Real/n01496331_11990.JPEG,0,Real,0,Tiny-GenImage,train,n01496331_11990.JPEG,data/train-00000-of-00014.parquet,53900
pilot_000149,data/raw/tiny-genimage/images/SD15/008_sdv5_00031.png,1,SD15,6,Tiny-GenImage,train,008_sdv5_00031.png,data/train-00000-of-00014.parquet,439944
