image_id,path,label,generator,generator_id,original_dataset,original_split,original_filename,shard,file_size,exists,readable,format,format_magic,width,height,aspect_ratio,image_mode,channels,file_size_bytes,exact_sha256,issue
pilot_000019,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00060.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_002_glide_00060.png,data/train-00000-of-00014.parquet,40735,True,True,PNG,PNG,256,256,1.0,RGB,3,40735,747d5d531bdda5b9274aa25a42881bc8703efe2c354cbed624babe4de4c57c97,
pilot_000020,data/raw/tiny-genimage/images/Real/n01440764_7277.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_7277.JPEG,data/train-00000-of-00014.parquet,28268,True,True,JPEG,JPEG,350,239,1.464435,RGB,3,28268,c7730500a01087e3d95f59091c2e1d2fedaddb0656c0434f6d156e57a40225dd,
pilot_000021,data/raw/tiny-genimage/images/Midjourney/0_midjourney_199.png,1,Midjourney,4,Tiny-GenImage,train,0_midjourney_199.png,data/train-00000-of-00014.parquet,1046926,True,True,PNG,PNG,1024,1024,1.0,RGB,3,1046926,72af0afae4d274611dbf438df87230a694e1ba665b3c558ab04542979cd154d1,
pilot_000022,data/raw/tiny-genimage/images/Real/n01440764_6169.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_6169.JPEG,data/train-00000-of-00014.parquet,19798,True,True,JPEG,JPEG,400,300,1.333333,RGB,3,19798,2d58f9ad5ce0813a9a13aa6a6e0b608615a47a44e5ae577c8215359e8fe6983e,
pilot_000023,data/raw/tiny-genimage/images/SD15/001_sdv5_00188.png,1,SD15,6,Tiny-GenImage,train,001_sdv5_00188.png,data/train-00000-of-00014.parquet,415934,True,True,PNG,PNG,512,512,1.0,RGB,3,415934,c7136f8fcb8903483248afaa2ea25a52a3afcf84ec0cbf1aedee535fc8502559,
pilot_000024,data/raw/tiny-genimage/images/Real/n01440764_8045.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_8045.JPEG,data/train-00000-of-00014.parquet,53858,True,True,JPEG,JPEG,256,341,0.750733,RGB,3,53858,374c42adbe19c385b22b35a6505710ea26f5b49c34b79276b46e52a2d951909b,
pilot_000025,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_002_vqdm_00088.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_002_vqdm_00088.png,data/train-00000-of-00014.parquet,85432,True,True,PNG,PNG,256,256,1.0,RGB,3,85432,da3220d91e2183a9d54c13b55b811d91c40b064d8112d789cce3bb3f6a6dbb71,
pilot_000026,data/raw/tiny-genimage/images/Real/n01440764_2577.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_2577.JPEG,data/train-00000-of-00014.parquet,134151,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,134151,cd94faaa61d5f65d1649bb42d0eb863ca55aa00042046572a01b5cede5024fff,
pilot_000027,data/raw/tiny-genimage/images/Wukong/0_wukong_image123.png,1,Wukong,8,Tiny-GenImage,train,0_wukong_image123.png,data/train-00000-of-00014.parquet,481576,True,True,PNG,PNG,512,512,1.0,RGB,3,481576,e4bb3e7e1f60b8c477368d5cc9b2e27d24be593516048568a75f302858881055,
pilot_000028,data/raw/tiny-genimage/images/Real/n01440764_21052.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_21052.JPEG,data/train-00000-of-00014.parquet,150353,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,150353,7d79d21265a3a1d5d7d608a32db21d79fafee82044bbd0aca054a0052dbacf91,
pilot_000029,data/raw/tiny-genimage/images/ADM/100_adm_168.PNG,1,ADM,1,Tiny-GenImage,train,100_adm_168.PNG,data/train-00000-of-00014.parquet,146802,True,True,PNG,PNG,256,256,1.0,RGBA,4,146802,c3c62440a4e1592f037f84ea60911cd4942e3398bf394d6740c0ec3a6ea430ae,unexpected_mode:RGBA
pilot_000030,data/raw/tiny-genimage/images/Real/n01443537_6853.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_6853.JPEG,data/train-00000-of-00014.parquet,136056,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,136056,66790d56c6d2a7032f6971b6da28e1f2a9aae50255efd3b18ea02f8084e34ead,
pilot_000031,data/raw/tiny-genimage/images/BigGAN/002_biggan_00010.png,1,BigGAN,2,Tiny-GenImage,train,002_biggan_00010.png,data/train-00000-of-00014.parquet,19276,True,True,PNG,PNG,128,128,1.0,RGB,3,19276,e0dedca201271c189d4c98a7d53969cb6b4fa453401c1a36e6de725223ac6c4a,
pilot_000032,data/raw/tiny-genimage/images/Real/n01443537_12060.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_12060.JPEG,data/train-00000-of-00014.parquet,38673,True,True,JPEG,JPEG,640,480,1.333333,RGB,3,38673,634493a7c32bbc923e40fc7e36a6523d7698b463d5fee2c2d6b627bcd13b7d33,
pilot_000033,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00118.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_002_glide_00118.png,data/train-00000-of-00014.parquet,52829,True,True,PNG,PNG,256,256,1.0,RGB,3,52829,cecf58a42a8b1895813160741d8ab71600e29f12f696717356f9ba7a01ab1c5d,
pilot_000034,data/raw/tiny-genimage/images/Real/n01440764_8013.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_8013.JPEG,data/train-00000-of-00014.parquet,143261,True,True,JPEG,JPEG,800,583,1.372213,RGB,3,143261,3bb9fa708e4d33af05ba78531ba727921ab720967faa9840a2d5daf3530c19e9,
pilot_000035,data/raw/tiny-genimage/images/Midjourney/100_midjourney_32.png,1,Midjourney,4,Tiny-GenImage,train,100_midjourney_32.png,data/train-00000-of-00014.parquet,1120010,True,True,PNG,PNG,1024,1024,1.0,RGB,3,1120010,50a50b196c9e54f7729de021216e3caa20909421568f4d12d62f140bbc37b008,
pilot_000036,data/raw/tiny-genimage/images/Real/n01443537_21051.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_21051.JPEG,data/train-00000-of-00014.parquet,78624,True,True,JPEG,JPEG,500,333,1.501502,RGB,3,78624,4cb955b665bcfeaa8233ff558246fe1887ee5578cc24dc3ee27defa86fbb4eb0,
pilot_000037,data/raw/tiny-genimage/images/SD15/002_sdv5_00037.png,1,SD15,6,Tiny-GenImage,train,002_sdv5_00037.png,data/train-00000-of-00014.parquet,496496,True,True,PNG,PNG,512,512,1.0,RGB,3,496496,1bf1d2eb5ef0f3e55d7e9a54f6fd0b591c19f2c81df39707db1f9d6383ac5cd6,
pilot_000038,data/raw/tiny-genimage/images/Real/n01443537_13771.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_13771.JPEG,data/train-00000-of-00014.parquet,118733,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,118733,0c85f2dbf19f4d302762fa167e8bde2e98258a40dcf74a70236ae498478a9953,
pilot_000039,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_002_vqdm_00166.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_002_vqdm_00166.png,data/train-00000-of-00014.parquet,123981,True,True,PNG,PNG,256,256,1.0,RGB,3,123981,50d9e172792f2357457cbf54f5eebb4db392e04a4a58ae4ee59dc9a4ea8ac23c,
pilot_000040,data/raw/tiny-genimage/images/Real/n01491361_6788.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_6788.JPEG,data/train-00000-of-00014.parquet,89546,True,True,JPEG,JPEG,500,334,1.497006,RGB,3,89546,7d950979cf680bcdc24b24c2f92fc5d201ce365e07c5d8ffe581678b14fd7778,
pilot_000041,data/raw/tiny-genimage/images/Wukong/100_wukong_image108.png,1,Wukong,8,Tiny-GenImage,train,100_wukong_image108.png,data/train-00000-of-00014.parquet,378949,True,True,PNG,PNG,512,512,1.0,RGB,3,378949,80612a60afd1236902fc71d2b2fe9f067dfbcda0cf12a3371866886b16efff64,
pilot_000042,data/raw/tiny-genimage/images/Real/n01440764_31953.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_31953.JPEG,data/train-00000-of-00014.parquet,199564,True,True,JPEG,JPEG,500,352,1.420455,RGB,3,199564,d3d98079aea2f17c90eea49c3ab2e455d3dfd1b9fda2e3c3b99756479723ddaf,
pilot_000043,data/raw/tiny-genimage/images/ADM/101_adm_49.PNG,1,ADM,1,Tiny-GenImage,train,101_adm_49.PNG,data/train-00000-of-00014.parquet,166980,True,True,PNG,PNG,256,256,1.0,RGBA,4,166980,fe58d93ce89c30abde16bc5336b0d8b4f3114ba3e60cc337dbb5d73012362079,unexpected_mode:RGBA
pilot_000044,data/raw/tiny-genimage/images/Real/n01484850_24809.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_24809.JPEG,data/train-00000-of-00014.parquet,113146,True,True,JPEG,JPEG,500,431,1.160093,RGB,3,113146,c7352d230cf3f76bfd6441a76cccea6e11e7b82aa7e025aa059e79a44fd998fc,
pilot_000045,data/raw/tiny-genimage/images/BigGAN/002_biggan_00163.png,1,BigGAN,2,Tiny-GenImage,train,002_biggan_00163.png,data/train-00000-of-00014.parquet,18024,True,True,PNG,PNG,128,128,1.0,RGB,3,18024,dbc04ba6a22e5ebe06486038490c99a5d2e8f4cf923963e5dcfd1222ae26a6cd,
pilot_000046,data/raw/tiny-genimage/images/Real/n01443537_12193.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_12193.JPEG,data/train-00000-of-00014.parquet,57125,True,True,JPEG,JPEG,640,480,1.333333,RGB,3,57125,f233c024468b32ec4954c04e2e134eb2fd55a84e3eb409f15f72b31da0fbd55b,
pilot_000047,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00172.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_002_glide_00172.png,data/train-00000-of-00014.parquet,61504,True,True,PNG,PNG,256,256,1.0,RGB,3,61504,340fc1246030e693787f5125cd5bce939df6ecfa5f11de05792d3988c8d2b40d,
pilot_000048,data/raw/tiny-genimage/images/Real/n01443537_17070.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_17070.JPEG,data/train-00000-of-00014.parquet,89831,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,89831,19139be8f1b190a120b4e4f63dd36bf7a91b9fb06ff057fb2eebb5bd6b2f7a97,
pilot_000049,data/raw/tiny-genimage/images/Midjourney/101_midjourney_40.png,1,Midjourney,4,Tiny-GenImage,train,101_midjourney_40.png,data/train-00000-of-00014.parquet,1225713,True,True,PNG,PNG,1024,1024,1.0,RGB,3,1225713,29a6009a3b584635e45da05dbf358fcaad7eddf2bf6ba38928f0a91c4f953c08,
pilot_000050,data/raw/tiny-genimage/images/Real/n01484850_10900.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_10900.JPEG,data/train-00000-of-00014.parquet,106113,True,True,JPEG,JPEG,500,332,1.506024,RGB,3,106113,5ff2776a929b111d5de3c4afd0978db0efc284900fabd898ea2e9699f1061969,
pilot_000051,data/raw/tiny-genimage/images/SD15/002_sdv5_00069.png,1,SD15,6,Tiny-GenImage,train,002_sdv5_00069.png,data/train-00000-of-00014.parquet,427162,True,True,PNG,PNG,512,512,1.0,RGB,3,427162,f75a0ab14e720e68cfd2002550eee34bbbffa460d99d75ad500436f6032929c8,
pilot_000052,data/raw/tiny-genimage/images/Real/n01443537_883.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_883.JPEG,data/train-00000-of-00014.parquet,17204,True,True,JPEG,JPEG,250,169,1.47929,RGB,3,17204,01d5e6659e1bca8768d2e79af0b7f9720cca5aff414c1dd8dddd39c3941ac88a,
pilot_000053,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_003_vqdm_00157.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_003_vqdm_00157.png,data/train-00000-of-00014.parquet,70963,True,True,PNG,PNG,256,256,1.0,RGB,3,70963,7038b31955417580f89e31c1a57f520c9184ebdfa43f4ce64a0bcbc3f7b4ee12,
pilot_000054,data/raw/tiny-genimage/images/Real/n01491361_8042.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_8042.JPEG,data/train-00000-of-00014.parquet,140929,True,True,JPEG,JPEG,500,324,1.54321,RGB,3,140929,a829e7ffcdbc4070244324141623d699905b7f0af1fc502a09bd87e31a40af54,
pilot_000055,data/raw/tiny-genimage/images/Wukong/100_wukong_image111.png,1,Wukong,8,Tiny-GenImage,train,100_wukong_image111.png,data/train-00000-of-00014.parquet,267912,True,True,PNG,PNG,512,512,1.0,RGB,3,267912,c00687f909cad75caa51bd35493a2b203c64b5ef13a94213ec05f5740bbd06c4,
pilot_000056,data/raw/tiny-genimage/images/Real/n01440764_3273.JPEG,0,Real,0,Tiny-GenImage,train,n01440764_3273.JPEG,data/train-00000-of-00014.parquet,44266,True,True,JPEG,JPEG,400,300,1.333333,RGB,3,44266,04360ae81488fc59b85060b38af23b4083eb3b35356283ad7e0f3e3800c49fb8,
pilot_000057,data/raw/tiny-genimage/images/ADM/101_adm_56.PNG,1,ADM,1,Tiny-GenImage,train,101_adm_56.PNG,data/train-00000-of-00014.parquet,173523,True,True,PNG,PNG,256,256,1.0,RGBA,4,173523,5cd405831f25389007a2be8ba11671866effbd7fd0480e88ea2def952b2ae76e,unexpected_mode:RGBA
pilot_000058,data/raw/tiny-genimage/images/Real/n01491361_7778.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_7778.JPEG,data/train-00000-of-00014.parquet,122500,True,True,JPEG,JPEG,500,332,1.506024,RGB,3,122500,bd90e656cde0f88b54ce69343277a4aaf2193191c8d2952dcd0d2baa359bd8dd,
pilot_000059,data/raw/tiny-genimage/images/BigGAN/003_biggan_00052.png,1,BigGAN,2,Tiny-GenImage,train,003_biggan_00052.png,data/train-00000-of-00014.parquet,14701,True,True,PNG,PNG,128,128,1.0,RGB,3,14701,06d964b809d51d9c7c42a855c83a3b9edf06aa41039342713ebb9d19e4e7854a,
pilot_000060,data/raw/tiny-genimage/images/Real/n01443537_12234.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_12234.JPEG,data/train-00000-of-00014.parquet,157299,True,True,JPEG,JPEG,500,333,1.501502,RGB,3,157299,7fd59a590cff7040a9e3af481b18c30caec0329814d8939b0f24965766c36edd,
pilot_000061,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_003_glide_00175.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_003_glide_00175.png,data/train-00000-of-00014.parquet,55645,True,True,PNG,PNG,256,256,1.0,RGB,3,55645,cdca7ca43965eb0e0f9546473d46100ad9616e71b52ed97dffe500707b3a6bcd,
pilot_000062,data/raw/tiny-genimage/images/Real/n01443537_23104.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_23104.JPEG,data/train-00000-of-00014.parquet,153277,True,True,JPEG,JPEG,500,334,1.497006,RGB,3,153277,895d6af4972dff677dc1cea89827408d8b64b063c2870537afe3cd815473b35d,
pilot_000063,data/raw/tiny-genimage/images/Midjourney/102_midjourney_134.png,1,Midjourney,4,Tiny-GenImage,train,102_midjourney_134.png,data/train-00000-of-00014.parquet,1668746,True,True,PNG,PNG,1024,1024,1.0,RGB,3,1668746,52ad46d9a9eed54ac698c4847df178cf93177b57c510120c424f379299f1de74,
pilot_000064,data/raw/tiny-genimage/images/Real/n01484850_11263.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_11263.JPEG,data/train-00000-of-00014.parquet,124046,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,124046,be38ce4be70d71cf5cd4ae9905fd19edbd973a37f8d2710af190ffca92911f7f,
pilot_000065,data/raw/tiny-genimage/images/SD15/002_sdv5_00138.png,1,SD15,6,Tiny-GenImage,train,002_sdv5_00138.png,data/train-00000-of-00014.parquet,495997,True,True,PNG,PNG,512,512,1.0,RGB,3,495997,7d97bd4bde82605a8f2d279da1ecaf04e5ab2ca85822b5da07bd83d950753764,
pilot_000066,data/raw/tiny-genimage/images/Real/n01443537_9799.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_9799.JPEG,data/train-00000-of-00014.parquet,75197,True,True,JPEG,JPEG,500,333,1.501502,RGB,3,75197,bdf5b6ef00177b4f67c84fce599586ef304fdb63efeca508c5be63f58d3d0999,
pilot_000067,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_004_vqdm_00018.png,1,VQDM,7,Tiny-GenImage,train,VQDM_1000_200_00_004_vqdm_00018.png,data/train-00000-of-00014.parquet,60937,True,True,PNG,PNG,256,256,1.0,RGB,3,60937,486098ccdd7892cd10fad1666724c085a03b00e69df4ba8288d5c5d2c79ea4e4,
pilot_000068,data/raw/tiny-genimage/images/Real/n01494475_248.JPEG,0,Real,0,Tiny-GenImage,train,n01494475_248.JPEG,data/train-00000-of-00014.parquet,115202,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,115202,9002794015a3dbb5d8905ae789328d07b59ca9371b8acb0e77f9eb7a32b4d152,
pilot_000069,data/raw/tiny-genimage/images/Wukong/100_wukong_image19.png,1,Wukong,8,Tiny-GenImage,train,100_wukong_image19.png,data/train-00000-of-00014.parquet,422390,True,True,PNG,PNG,512,512,1.0,RGB,3,422390,a531621b36f534861c50a05f3eb2dba0e2a203d08ffc3d63c3952f512491770b,
pilot_000070,data/raw/tiny-genimage/images/Real/n01443537_860.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_860.JPEG,data/train-00000-of-00014.parquet,6462,True,True,JPEG,JPEG,176,110,1.6,RGB,3,6462,55f5e316583c623b020047708dd4d2f94cc23c39e8a5661e068ddbb20bcdfdf9,
pilot_000071,data/raw/tiny-genimage/images/ADM/102_adm_12.PNG,1,ADM,1,Tiny-GenImage,train,102_adm_12.PNG,data/train-00000-of-00014.parquet,180348,True,True,PNG,PNG,256,256,1.0,RGBA,4,180348,a931c4676d1f43ed1185be53cc6bce3c60affd1524d6bf2367ef24aac8dd2ba2,unexpected_mode:RGBA
pilot_000072,data/raw/tiny-genimage/images/Real/n01491361_8276.JPEG,0,Real,0,Tiny-GenImage,train,n01491361_8276.JPEG,data/train-00000-of-00014.parquet,112543,True,True,JPEG,JPEG,500,332,1.506024,RGB,3,112543,5f8d88769525e3e41fd52dc4952aa1c7c615cf25d86a6a4d9a6472b86e646c02,
pilot_000073,data/raw/tiny-genimage/images/BigGAN/003_biggan_00058.png,1,BigGAN,2,Tiny-GenImage,train,003_biggan_00058.png,data/train-00000-of-00014.parquet,18849,True,True,PNG,PNG,128,128,1.0,RGB,3,18849,e2f7069ada0b0085eff40ca50198c4782bf942ed8b0c99be1116cb69367ddfed,
pilot_000074,data/raw/tiny-genimage/images/Real/n01484850_32144.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_32144.JPEG,data/train-00000-of-00014.parquet,104044,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,104044,3a9c7bd07b05964dc22a102ac111d070093a444ea88a026e448f447153e84bc4,
pilot_000075,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_006_glide_00167.png,1,GLIDE,3,Tiny-GenImage,train,GLIDE_1000_200_00_006_glide_00167.png,data/train-00000-of-00014.parquet,78212,True,True,PNG,PNG,256,256,1.0,RGB,3,78212,c13778ad9cc602aabedb33fea62168e399da4923ca8bbd22986704168db0ec49,
pilot_000076,data/raw/tiny-genimage/images/Real/n01443537_24148.JPEG,0,Real,0,Tiny-GenImage,train,n01443537_24148.JPEG,data/train-00000-of-00014.parquet,148494,True,True,JPEG,JPEG,500,375,1.333333,RGB,3,148494,bb8afa424730ba330cb316f676691cc6fcbd8569ddb37addb786569dd6f0cc1e,
pilot_000077,data/raw/tiny-genimage/images/Midjourney/102_midjourney_96.png,1,Midjourney,4,Tiny-GenImage,train,102_midjourney_96.png,data/train-00000-of-00014.parquet,1181009,True,True,PNG,PNG,1024,1024,1.0,RGB,3,1181009,2269fbf2e1c4b7fdf95b92be3ebe4447c1ce174ec0dc9dd7200e22126c30a46c,
pilot_000078,data/raw/tiny-genimage/images/Real/n01484850_12507.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_12507.JPEG,data/train-00000-of-00014.parquet,160794,True,True,JPEG,JPEG,500,400,1.25,RGB,3,160794,4d86e7df0695a2dfb89f9ab179b004fba1544e31c2acadce93533c8f2eb7e227,
pilot_000079,data/raw/tiny-genimage/images/SD15/003_sdv5_00037.png,1,SD15,6,Tiny-GenImage,train,003_sdv5_00037.png,data/train-00000-of-00014.parquet,412771,True,True,PNG,PNG,512,512,1.0,RGB,3,412771,fb2e0dcdd6f682501abac7d3f954a3e944595ae7ad7eba5882bfadfb8268feee,
pilot_000080,data/raw/tiny-genimage/images/Real/n01484850_16339.JPEG,0,Real,0,Tiny-GenImage,train,n01484850_16339.JPEG,data/train-00000-of-00014.parquet,77658,True,True,JPEG,JPEG,500,333,1.501502,RGB,3,77658,64ea7381b1cbe2b8ee5ebd436d85dac7890ee6e0635ed6b44958021b45a62a8e,
