image_id,path,label,generator,original_filename,exact_sha256,phash,dhash,filename_imagenet_synset,filename_leading_index,filename_parse_note
pilot_000031,data/raw/tiny-genimage/images/BigGAN/002_biggan_00010.png,1,BigGAN,002_biggan_00010.png,e0dedca201271c189d4c98a7d53969cb6b4fa453401c1a36e6de725223ac6c4a,c49832e6d99d4673,e0e0f0f2c2c4c4c0,,2,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000032,data/raw/tiny-genimage/images/Real/n01443537_12060.JPEG,0,Real,n01443537_12060.JPEG,634493a7c32bbc923e40fc7e36a6523d7698b463d5fee2c2d6b627bcd13b7d33,dbd76469864cc29c,64183838181933e5,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000033,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00118.png,1,GLIDE,GLIDE_1000_200_00_002_glide_00118.png,cecf58a42a8b1895813160741d8ab71600e29f12f696717356f9ba7a01ab1c5d,91e57eda61369161,28618eced1f92807,,2,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000034,data/raw/tiny-genimage/images/Real/n01440764_8013.JPEG,0,Real,n01440764_8013.JPEG,3bb9fa708e4d33af05ba78531ba727921ab720967faa9840a2d5daf3530c19e9,afffb702c008b6a4,6d6e2e63e7ddeb47,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000035,data/raw/tiny-genimage/images/Midjourney/100_midjourney_32.png,1,Midjourney,100_midjourney_32.png,50a50b196c9e54f7729de021216e3caa20909421568f4d12d62f140bbc37b008,f89b9c66a7c091e1,2c3494b70f0c9733,,100,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000036,data/raw/tiny-genimage/images/Real/n01443537_21051.JPEG,0,Real,n01443537_21051.JPEG,4cb955b665bcfeaa8233ff558246fe1887ee5578cc24dc3ee27defa86fbb4eb0,cfbdb4eeb20a8046,666262636363e1c8,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000037,data/raw/tiny-genimage/images/SD15/002_sdv5_00037.png,1,SD15,002_sdv5_00037.png,1bf1d2eb5ef0f3e55d7e9a54f6fd0b591c19f2c81df39707db1f9d6383ac5cd6,96d929d592ca6d34,3849a7b9ece6ed6e,,2,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000038,data/raw/tiny-genimage/images/Real/n01443537_13771.JPEG,0,Real,n01443537_13771.JPEG,0c85f2dbf19f4d302762fa167e8bde2e98258a40dcf74a70236ae498478a9953,9707ea7c0f787828,6cccc4647c1c0ec0,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000039,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_002_vqdm_00166.png,1,VQDM,VQDM_1000_200_00_002_vqdm_00166.png,50d9e172792f2357457cbf54f5eebb4db392e04a4a58ae4ee59dc9a4ea8ac23c,866f1999d23671c9,f871ae2dc8babab8,,2,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000040,data/raw/tiny-genimage/images/Real/n01491361_6788.JPEG,0,Real,n01491361_6788.JPEG,7d950979cf680bcdc24b24c2f92fc5d201ce365e07c5d8ffe581678b14fd7778,b15acc339a65d38a,fcfcdc9e79de96d6,n01491361,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000041,data/raw/tiny-genimage/images/Wukong/100_wukong_image108.png,1,Wukong,100_wukong_image108.png,80612a60afd1236902fc71d2b2fe9f067dfbcda0cf12a3371866886b16efff64,b81c98272fd8b627,303590b74f1eb133,,100,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000042,data/raw/tiny-genimage/images/Real/n01440764_31953.JPEG,0,Real,n01440764_31953.JPEG,d3d98079aea2f17c90eea49c3ab2e455d3dfd1b9fda2e3c3b99756479723ddaf,8566652b549576d3,ec426cb4f87bdaf2,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000043,data/raw/tiny-genimage/images/ADM/101_adm_49.PNG,1,ADM,101_adm_49.PNG,fe58d93ce89c30abde16bc5336b0d8b4f3114ba3e60cc337dbb5d73012362079,cc8c9b37e7c60471,6633b36646c68d83,,101,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000044,data/raw/tiny-genimage/images/Real/n01484850_24809.JPEG,0,Real,n01484850_24809.JPEG,c7352d230cf3f76bfd6441a76cccea6e11e7b82aa7e025aa059e79a44fd998fc,e0c31b3e27c1c46f,e80d8081272cf8ec,n01484850,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000045,data/raw/tiny-genimage/images/BigGAN/002_biggan_00163.png,1,BigGAN,002_biggan_00163.png,dbc04ba6a22e5ebe06486038490c99a5d2e8f4cf923963e5dcfd1222ae26a6cd,c3cc082ef4550dfb,6381d20408c9c888,,2,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000046,data/raw/tiny-genimage/images/Real/n01443537_12193.JPEG,0,Real,n01443537_12193.JPEG,f233c024468b32ec4954c04e2e134eb2fd55a84e3eb409f15f72b31da0fbd55b,99d06c2f97866e98,e4b9b9f89953d311,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000047,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00172.png,1,GLIDE,GLIDE_1000_200_00_002_glide_00172.png,340fc1246030e693787f5125cd5bce939df6ecfa5f11de05792d3988c8d2b40d,9495d9d1666a8bac,f0feff4544da98a0,,2,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000048,data/raw/tiny-genimage/images/Real/n01443537_17070.JPEG,0,Real,n01443537_17070.JPEG,19139be8f1b190a120b4e4f63dd36bf7a91b9fb06ff057fb2eebb5bd6b2f7a97,d42168ec172df31e,969a5c9c3c9494bc,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000049,data/raw/tiny-genimage/images/Midjourney/101_midjourney_40.png,1,Midjourney,101_midjourney_40.png,29a6009a3b584635e45da05dbf358fcaad7eddf2bf6ba38928f0a91c4f953c08,b411db3e81c4976b,3e1cc496172525d0,,101,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000050,data/raw/tiny-genimage/images/Real/n01484850_10900.JPEG,0,Real,n01484850_10900.JPEG,5ff2776a929b111d5de3c4afd0978db0efc284900fabd898ea2e9699f1061969,885a572365cadec5,d399f1b397aff7f2,n01484850,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000051,data/raw/tiny-genimage/images/SD15/002_sdv5_00069.png,1,SD15,002_sdv5_00069.png,f75a0ab14e720e68cfd2002550eee34bbbffa460d99d75ad500436f6032929c8,ab521c2df2b1374c,2870c8c9034f7a70,,2,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000052,data/raw/tiny-genimage/images/Real/n01443537_883.JPEG,0,Real,n01443537_883.JPEG,01d5e6659e1bca8768d2e79af0b7f9720cca5aff414c1dd8dddd39c3941ac88a,9e9233666c646d69,2c3839b1616261e1,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000053,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_003_vqdm_00157.png,1,VQDM,VQDM_1000_200_00_003_vqdm_00157.png,7038b31955417580f89e31c1a57f520c9184ebdfa43f4ce64a0bcbc3f7b4ee12,c5e372bc1ec6d0c1,00c0c06070b0e080,,3,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000054,data/raw/tiny-genimage/images/Real/n01491361_8042.JPEG,0,Real,n01491361_8042.JPEG,a829e7ffcdbc4070244324141623d699905b7f0af1fc502a09bd87e31a40af54,859f46e1219cdbc3,fafc7836dbf1e4e4,n01491361,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000055,data/raw/tiny-genimage/images/Wukong/100_wukong_image111.png,1,Wukong,100_wukong_image111.png,c00687f909cad75caa51bd35493a2b203c64b5ef13a94213ec05f5740bbd06c4,e98f66113c458b7a,c4fc53b333139687,,100,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000056,data/raw/tiny-genimage/images/Real/n01440764_3273.JPEG,0,Real,n01440764_3273.JPEG,04360ae81488fc59b85060b38af23b4083eb3b35356283ad7e0f3e3800c49fb8,b391f989b5761886,98980d0cefbbe74e,n01440764,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000057,data/raw/tiny-genimage/images/ADM/101_adm_56.PNG,1,ADM,101_adm_56.PNG,5cd405831f25389007a2be8ba11671866effbd7fd0480e88ea2def952b2ae76e,94dac96665746672,e0787c3cdcc4b6f6,,101,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000058,data/raw/tiny-genimage/images/Real/n01491361_7778.JPEG,0,Real,n01491361_7778.JPEG,bd90e656cde0f88b54ce69343277a4aaf2193191c8d2952dcd0d2baa359bd8dd,f10e91e06c9592ef,d68e8c8ea38c9c9c,n01491361,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000059,data/raw/tiny-genimage/images/BigGAN/003_biggan_00052.png,1,BigGAN,003_biggan_00052.png,06d964b809d51d9c7c42a855c83a3b9edf06aa41039342713ebb9d19e4e7854a,c1c1323e8d93f3ca,40c0c0e0e080c080,,3,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000060,data/raw/tiny-genimage/images/Real/n01443537_12234.JPEG,0,Real,n01443537_12234.JPEG,7fd59a590cff7040a9e3af481b18c30caec0329814d8939b0f24965766c36edd,804f382b974e7cae,e6f0e4e0c3db99bc,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000061,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_003_glide_00175.png,1,GLIDE,GLIDE_1000_200_00_003_glide_00175.png,cdca7ca43965eb0e0f9546473d46100ad9616e71b52ed97dffe500707b3a6bcd,d5cf2f94c860b4ca,00400080f03c0601,,3,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000062,data/raw/tiny-genimage/images/Real/n01443537_23104.JPEG,0,Real,n01443537_23104.JPEG,895d6af4972dff677dc1cea89827408d8b64b063c2870537afe3cd815473b35d,8d10b63bc858d3e7,3d7deab1525e27a7,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000063,data/raw/tiny-genimage/images/Midjourney/102_midjourney_134.png,1,Midjourney,102_midjourney_134.png,52ad46d9a9eed54ac698c4847df178cf93177b57c510120c424f379299f1de74,f887c01f84539f5a,cc9f1d1f0d3f9597,,102,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000064,data/raw/tiny-genimage/images/Real/n01484850_11263.JPEG,0,Real,n01484850_11263.JPEG,be38ce4be70d71cf5cd4ae9905fd19edbd973a37f8d2710af190ffca92911f7f,86cf6e13c16075b3,606040f1d8fcecec,n01484850,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000065,data/raw/tiny-genimage/images/SD15/002_sdv5_00138.png,1,SD15,002_sdv5_00138.png,7d97bd4bde82605a8f2d279da1ecaf04e5ab2ca85822b5da07bd83d950753764,f0a90ec79b1ac4a7,93939c199a841c92,,2,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000066,data/raw/tiny-genimage/images/Real/n01443537_9799.JPEG,0,Real,n01443537_9799.JPEG,bdf5b6ef00177b4f67c84fce599586ef304fdb63efeca508c5be63f58d3d0999,d316472c4f9f9470,c0cc8c491bb4c9cb,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000067,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_004_vqdm_00018.png,1,VQDM,VQDM_1000_200_00_004_vqdm_00018.png,486098ccdd7892cd10fad1666724c085a03b00e69df4ba8288d5c5d2c79ea4e4,8337b78c4c6879b1,e06e8ae3e4b1c590,,4,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000068,data/raw/tiny-genimage/images/Real/n01494475_248.JPEG,0,Real,n01494475_248.JPEG,9002794015a3dbb5d8905ae789328d07b59ca9371b8acb0e77f9eb7a32b4d152,a6aa59d65489ae93,3f3f1f2725ccda5c,n01494475,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000069,data/raw/tiny-genimage/images/Wukong/100_wukong_image19.png,1,Wukong,100_wukong_image19.png,a531621b36f534861c50a05f3eb2dba0e2a203d08ffc3d63c3952f512491770b,9f6cf493689542aa,6f6f695755585c69,,100,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000070,data/raw/tiny-genimage/images/Real/n01443537_860.JPEG,0,Real,n01443537_860.JPEG,55f5e316583c623b020047708dd4d2f94cc23c39e8a5661e068ddbb20bcdfdf9,ba36c4c18d0f5abc,6f0d2d6b3b5d5d6e,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000071,data/raw/tiny-genimage/images/ADM/102_adm_12.PNG,1,ADM,102_adm_12.PNG,a931c4676d1f43ed1185be53cc6bce3c60affd1524d6bf2367ef24aac8dd2ba2,ac51d02acbb16dda,85bc5c0763279f27,,102,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000072,data/raw/tiny-genimage/images/Real/n01491361_8276.JPEG,0,Real,n01491361_8276.JPEG,5f8d88769525e3e41fd52dc4952aa1c7c615cf25d86a6a4d9a6472b86e646c02,c491b1c8c5717bcb,d0f058e4e03180c8,n01491361,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000073,data/raw/tiny-genimage/images/BigGAN/003_biggan_00058.png,1,BigGAN,003_biggan_00058.png,e2f7069ada0b0085eff40ca50198c4782bf942ed8b0c99be1116cb69367ddfed,91a34cddb3a68a33,e0f0cfdfd8f0e473,,3,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000074,data/raw/tiny-genimage/images/Real/n01484850_32144.JPEG,0,Real,n01484850_32144.JPEG,3a9c7bd07b05964dc22a102ac111d070093a444ea88a026e448f447153e84bc4,8d85a178686f23f3,e6e6627331391898,n01484850,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000075,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_006_glide_00167.png,1,GLIDE,GLIDE_1000_200_00_006_glide_00167.png,c13778ad9cc602aabedb33fea62168e399da4923ca8bbd22986704168db0ec49,be60954f7a30c1d6,8c388e0f05c23c2a,,6,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000076,data/raw/tiny-genimage/images/Real/n01443537_24148.JPEG,0,Real,n01443537_24148.JPEG,bb8afa424730ba330cb316f676691cc6fcbd8569ddb37addb786569dd6f0cc1e,c6b82f7d70a087e4,a36bce9d9464c3e6,n01443537,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000077,data/raw/tiny-genimage/images/Midjourney/102_midjourney_96.png,1,Midjourney,102_midjourney_96.png,2269fbf2e1c4b7fdf95b92be3ebe4447c1ce174ec0dc9dd7200e22126c30a46c,b3ce043a79c0cd3e,dbacea981818bcd8,,102,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000078,data/raw/tiny-genimage/images/Real/n01484850_12507.JPEG,0,Real,n01484850_12507.JPEG,4d86e7df0695a2dfb89f9ab179b004fba1544e31c2acadce93533c8f2eb7e227,dccc3d85039887bb,303620a0c4e43018,n01484850,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000079,data/raw/tiny-genimage/images/SD15/003_sdv5_00037.png,1,SD15,003_sdv5_00037.png,fb2e0dcdd6f682501abac7d3f954a3e944595ae7ad7eba5882bfadfb8268feee,c8dcabb7088de398,f329b1b1bccc32c1,,3,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000080,data/raw/tiny-genimage/images/Real/n01484850_16339.JPEG,0,Real,n01484850_16339.JPEG,64ea7381b1cbe2b8ee5ebd436d85dac7890ee6e0635ed6b44958021b45a62a8e,d8a66c78694f9670,010068d190109181,n01484850,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000081,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_004_vqdm_00115.png,1,VQDM,VQDM_1000_200_00_004_vqdm_00115.png,32843df46d56a1f085ea10b870aab01ffed4c85cbb4a053c4386652d1611a222,f0ff0f0e10c3a5f0,4107068195ba4808,,4,"Integer token parsed from GLIDE/VQDM filename pattern; uncertain class index, not an official source ID."
pilot_000082,data/raw/tiny-genimage/images/Real/n01494475_3482.JPEG,0,Real,n01494475_3482.JPEG,61339f4264fda7a4c46d4f2721fe88b1ab71307e947c7debdaff9fdda70db1db,aa19c73da2e31cd1,5b1b9a8f37374fc5,n01494475,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000083,data/raw/tiny-genimage/images/Wukong/100_wukong_image49.png,1,Wukong,100_wukong_image49.png,d7898e8d33d0ed758ff37b64bbc640cdebb179f153d1ab9212777ac9fb290228,ca35a4cabd28563d,9e42c4b12b69c1cc,,100,Leading integer parsed from original filename; may be a class index but is not an official source ID.
pilot_000084,data/raw/tiny-genimage/images/Real/n01491361_11372.JPEG,0,Real,n01491361_11372.JPEG,7fc26b298aaad98aa4d9da320a35dce26e7e084b48aac3baf138fddc8c9454d7,92ed64929b6d6692,0202e438382c9a5c,n01491361,,ImageNet-style synset parsed from original filename; not an official dataset field.
pilot_000085,data/raw/tiny-genimage/images/ADM/103_adm_118.PNG,1,ADM,103_adm_118.PNG,196fb6411abb4eb4b886e9b4961f0ccec2905a0d30f575abc35fca57ff72151c,9679c53e622fcc30,4670bccb8d2c7ce0,,103,Leading integer parsed from original filename; may be a class index but is not an official source ID.
