source_image_id,source_path,split,label,true_label,generator,condition,severity,output_path,output_format,width,height,display_canvas_size,display_image_size,jpeg_quality,jpeg_subsampling,canvas_rgb,final_resize_method
pilot_000099,data/processed/controlled_v1/images/ADM/pilot_000099.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000099.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000101,data/processed/controlled_v1/images/BigGAN/pilot_000101.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000101.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000103,data/processed/controlled_v1/images/GLIDE/pilot_000103.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000103.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000104,data/processed/controlled_v1/images/Real/pilot_000104.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000104.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000107,data/processed/controlled_v1/images/SD15/pilot_000107.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000107.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000110,data/processed/controlled_v1/images/Real/pilot_000110.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000110.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000113,data/processed/controlled_v1/images/ADM/pilot_000113.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000113.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000115,data/processed/controlled_v1/images/BigGAN/pilot_000115.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000115.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000117,data/processed/controlled_v1/images/GLIDE/pilot_000117.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000117.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000120,data/processed/controlled_v1/images/Real/pilot_000120.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000120.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000121,data/processed/controlled_v1/images/SD15/pilot_000121.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000121.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000132,data/processed/controlled_v1/images/Real/pilot_000132.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000132.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000136,data/processed/controlled_v1/images/Real/pilot_000136.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000136.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000154,data/processed/controlled_v1/images/Real/pilot_000154.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000154.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000160,data/processed/controlled_v1/images/Real/pilot_000160.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000160.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000170,data/processed/controlled_v1/images/Real/pilot_000170.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000170.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000183,data/processed/controlled_v1/images/ADM/pilot_000183.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000183.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000184,data/processed/controlled_v1/images/Real/pilot_000184.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000184.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000185,data/processed/controlled_v1/images/BigGAN/pilot_000185.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000185.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000187,data/processed/controlled_v1/images/GLIDE/pilot_000187.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000187.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000191,data/processed/controlled_v1/images/SD15/pilot_000191.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000191.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000194,data/processed/controlled_v1/images/Real/pilot_000194.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000194.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000212,data/processed/controlled_v1/images/Real/pilot_000212.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000212.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000220,data/processed/controlled_v1/images/Real/pilot_000220.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000220.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000239,data/processed/controlled_v1/images/ADM/pilot_000239.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000239.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000241,data/processed/controlled_v1/images/BigGAN/pilot_000241.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000241.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000243,data/processed/controlled_v1/images/GLIDE/pilot_000243.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000243.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000247,data/processed/controlled_v1/images/SD15/pilot_000247.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000247.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000250,data/processed/controlled_v1/images/Real/pilot_000250.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000250.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000264,data/processed/controlled_v1/images/Real/pilot_000264.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000264.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000272,data/processed/controlled_v1/images/Real/pilot_000272.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000272.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000274,data/processed/controlled_v1/images/Real/pilot_000274.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000274.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000276,data/processed/controlled_v1/images/Real/pilot_000276.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000276.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000278,data/processed/controlled_v1/images/Real/pilot_000278.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000278.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000281,data/processed/controlled_v1/images/ADM/pilot_000281.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000281.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000283,data/processed/controlled_v1/images/BigGAN/pilot_000283.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000283.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000285,data/processed/controlled_v1/images/GLIDE/pilot_000285.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000285.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000288,data/processed/controlled_v1/images/Real/pilot_000288.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000288.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000289,data/processed/controlled_v1/images/SD15/pilot_000289.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000289.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000295,data/processed/controlled_v1/images/ADM/pilot_000295.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000295.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000297,data/processed/controlled_v1/images/BigGAN/pilot_000297.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000297.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000299,data/processed/controlled_v1/images/GLIDE/pilot_000299.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000299.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000303,data/processed/controlled_v1/images/SD15/pilot_000303.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000303.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000330,data/processed/controlled_v1/images/Real/pilot_000330.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000330.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000334,data/processed/controlled_v1/images/Real/pilot_000334.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000334.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000342,data/processed/controlled_v1/images/Real/pilot_000342.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000342.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000366,data/processed/controlled_v1/images/Real/pilot_000366.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000366.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000386,data/processed/controlled_v1/images/Real/pilot_000386.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000386.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000408,data/processed/controlled_v1/images/Real/pilot_000408.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000408.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000426,data/processed/controlled_v1/images/Real/pilot_000426.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000426.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000444,data/processed/controlled_v1/images/Real/pilot_000444.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000444.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000448,data/processed/controlled_v1/images/Real/pilot_000448.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000448.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000454,data/processed/controlled_v1/images/Real/pilot_000454.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000454.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000456,data/processed/controlled_v1/images/Real/pilot_000456.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000456.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000464,data/processed/controlled_v1/images/Real/pilot_000464.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000464.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000476,data/processed/controlled_v1/images/Real/pilot_000476.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000476.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000477,data/processed/controlled_v1/images/ADM/pilot_000477.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000477.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000479,data/processed/controlled_v1/images/BigGAN/pilot_000479.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000479.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000481,data/processed/controlled_v1/images/GLIDE/pilot_000481.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000481.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000484,data/processed/controlled_v1/images/Real/pilot_000484.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000484.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000485,data/processed/controlled_v1/images/SD15/pilot_000485.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000485.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000496,data/processed/controlled_v1/images/Real/pilot_000496.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000496.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000516,data/processed/controlled_v1/images/Real/pilot_000516.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000516.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000520,data/processed/controlled_v1/images/Real/pilot_000520.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000520.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000560,data/processed/controlled_v1/images/Real/pilot_000560.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000560.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000580,data/processed/controlled_v1/images/Real/pilot_000580.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000580.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000598,data/processed/controlled_v1/images/Real/pilot_000598.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000598.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000604,data/processed/controlled_v1/images/Real/pilot_000604.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000604.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000628,data/processed/controlled_v1/images/Real/pilot_000628.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000628.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000636,data/processed/controlled_v1/images/Real/pilot_000636.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000636.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000638,data/processed/controlled_v1/images/Real/pilot_000638.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000638.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000642,data/processed/controlled_v1/images/Real/pilot_000642.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000642.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000650,data/processed/controlled_v1/images/Real/pilot_000650.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000650.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000656,data/processed/controlled_v1/images/Real/pilot_000656.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000656.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000666,data/processed/controlled_v1/images/Real/pilot_000666.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000666.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000672,data/processed/controlled_v1/images/Real/pilot_000672.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000672.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000673,data/processed/controlled_v1/images/ADM/pilot_000673.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000673.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000675,data/processed/controlled_v1/images/BigGAN/pilot_000675.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000675.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000677,data/processed/controlled_v1/images/GLIDE/pilot_000677.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000677.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000681,data/processed/controlled_v1/images/SD15/pilot_000681.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000681.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000696,data/processed/controlled_v1/images/Real/pilot_000696.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000696.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000698,data/processed/controlled_v1/images/Real/pilot_000698.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000698.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000701,data/processed/controlled_v1/images/ADM/pilot_000701.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000701.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000703,data/processed/controlled_v1/images/BigGAN/pilot_000703.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000703.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000705,data/processed/controlled_v1/images/GLIDE/pilot_000705.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000705.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000709,data/processed/controlled_v1/images/SD15/pilot_000709.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000709.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000718,data/processed/controlled_v1/images/Real/pilot_000718.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000718.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000724,data/processed/controlled_v1/images/Real/pilot_000724.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000724.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000728,data/processed/controlled_v1/images/Real/pilot_000728.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000728.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000729,data/processed/controlled_v1/images/ADM/pilot_000729.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000729.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000731,data/processed/controlled_v1/images/BigGAN/pilot_000731.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000731.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000733,data/processed/controlled_v1/images/GLIDE/pilot_000733.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000733.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000737,data/processed/controlled_v1/images/SD15/pilot_000737.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000737.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000750,data/processed/controlled_v1/images/Real/pilot_000750.jpg,known_test,0,0,Real,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000750.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000757,data/processed/controlled_v1/images/ADM/pilot_000757.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000757.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000759,data/processed/controlled_v1/images/BigGAN/pilot_000759.jpg,known_test,1,1,BigGAN,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000759.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000761,data/processed/controlled_v1/images/GLIDE/pilot_000761.jpg,known_test,1,1,GLIDE,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000761.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000765,data/processed/controlled_v1/images/SD15/pilot_000765.jpg,known_test,1,1,SD15,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000765.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
pilot_000813,data/processed/controlled_v1/images/ADM/pilot_000813.jpg,known_test,1,1,ADM,screenshot_mild,mild,data/processed/screenshot_v1/known_test/screenshot_mild/pilot_000813.png,PNG,224,224,512,448,85,0,"[32, 32, 32]",LANCZOS
