path,generator,prompt_id,sha256,provenance_verified,used_for_training,used_for_inference,used_for_metrics,exclusion_reason
data/external_v1/native/ai/gpt_image_2/GPT2_P0017.png,GPT Image 2,P0017,fd165755da7c7a6aa0b993bde748a5e9dbc0ac3942408a64e8a7b3c927f3002d,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0018.png,GPT Image 2,P0018,0566a9825ed514332f80fe8cb4dffda1758472176d5c5dfcdd393ae46b336889,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0019.png,GPT Image 2,P0019,a7fff726cee8ab1bb5c306d0a245a3e342f7d725c54d8523f3fea75a3221709b,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0020.png,GPT Image 2,P0020,f790575cf6bd5cd66b73b624ff13f8771537a88d15d028d48a5db4177289637d,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0021.png,GPT Image 2,P0021,9cc01b26221245782f994a0b4ae4d2ddc7d97d624b5fbd05c2bbedac522ef3e8,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0022.png,GPT Image 2,P0022,931078702edd0f73680e96e3fb07b349395eda22e853cd06c5c6efbc9993b85f,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0023.png,GPT Image 2,P0023,d03d0ad32c74f5596649441ccd8fa25f525a6c38a9937800c3d307d3af80cb2b,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0024.png,GPT Image 2,P0024,836aeafd8a4ef9ca4dc24da9f1e68910c01ee2c93dbc73bc31e95197085914e6,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0025.png,GPT Image 2,P0025,fdca5abee4f4a1d8d01836a9c89a4dd8e2db3bc7db07e37282a7edce331db027,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0026.png,GPT Image 2,P0026,57476acb14c4387258e826ccc76f9c93c06cd20d7f0fb689eace26140ce3be10,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0027.png,GPT Image 2,P0027,a97863d28ef7bdb2386359db8a7e8653294e4b4807f1367f48409eadc708d387,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0028.png,GPT Image 2,P0028,090366e3ae82d93ab40132c442e1c98053dc30a755d74f338192139e63c19da9,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0029.png,GPT Image 2,P0029,832a832d77b35427cc377c6bf2f11bf403c6022d2ce8c744c4ee0bcdf43af0a4,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0030.png,GPT Image 2,P0030,aa5ca3cd65f5fc043799bb01fa94c336427ef6ec69ad677538fbe5c5a094e827,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0031.png,GPT Image 2,P0031,f19d52210e50afbea40003b1b02f34853addb05496486b32e2265a9e56c9b7bf,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0032.png,GPT Image 2,P0032,d3981975946d02acc1b8679b590ccfdb866cc9af5476ed722009c1e7a8b69c59,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0035.png,GPT Image 2,P0035,de3c7e64d12c9a4ad702e63e72720d5d965badfec3a3585bc0b2d1cbd35b6673,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0036.png,GPT Image 2,P0036,228323f975c7aa7604d1c29470cb0f7390d3985205beed7682dfb3e18566d834,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gpt_image_2/GPT2_P0041.png,GPT Image 2,P0041,0e1a99e2471c049940f83151cbb508e490d0e9a8abad53cd0d10feb679dd01ba,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/gemini_3_1_flash_image/GEM31_P0001.png,Gemini 3.1 Flash Image / Nano Banana 2,P0001,89c1e25b45797ef317f366823ff14893d71afe07187cd3ad31e8193da89540b0,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/stable_diffusion_3_5_large/SD35_P0001.png,Stable Diffusion 3.5 Large,P0001,00694659ace119b814b7f8e9b8d0f641d16fd9e613781c3814d3433404a45298,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
data/external_v1/native/ai/seedream_5_pro/SEED5P_P0001.png,Seedream 5.0 Pro,P0001,bc7cf498920397bb63a570648cbc5906c69feb11ce78cc1797d43c60eb79791b,true,false,false,false,SUPERSEDED_BY_PUBLIC_STAGE27A_V2_BEFORE_EXTERNAL_INFERENCE
