image_id,binary_label,source_dataset,real_domain,generator_id,prompt_group,embedding_row,fold_1_role,fold_2_role,fold_3_role,fold_4_role,path
EXT_REAL_0034,0,COCO,COCO,real::COCO,,33,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0034_551794.jpg
EXT_REAL_0035,0,COCO,COCO,real::COCO,,34,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0035_330396.jpg
EXT_REAL_0036,0,COCO,COCO,real::COCO,,35,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0036_263299.jpg
EXT_REAL_0037,0,COCO,COCO,real::COCO,,36,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0037_140987.jpg
EXT_REAL_0038,0,COCO,COCO,real::COCO,,37,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0038_84362.jpg
EXT_REAL_0039,0,COCO,COCO,real::COCO,,38,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0039_403385.jpg
EXT_REAL_0040,0,COCO,COCO,real::COCO,,39,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0040_2923.jpg
EXT_REAL_0041,0,COCO,COCO,real::COCO,,40,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0041_210032.jpg
EXT_REAL_0042,0,COCO,COCO,real::COCO,,41,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0042_254814.jpg
EXT_REAL_0043,0,COCO,COCO,real::COCO,,42,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0043_50943.jpg
EXT_REAL_0044,0,COCO,COCO,real::COCO,,43,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0044_48504.jpg
EXT_REAL_0045,0,COCO,COCO,real::COCO,,44,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0045_327605.jpg
EXT_REAL_0046,0,COCO,COCO,real::COCO,,45,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0046_576955.jpg
EXT_REAL_0047,0,COCO,COCO,real::COCO,,46,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0047_149622.jpg
EXT_REAL_0048,0,COCO,COCO,real::COCO,,47,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0048_15272.jpg
EXT_REAL_0049,0,COCO,COCO,real::COCO,,48,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0049_370813.jpg
EXT_REAL_0050,0,COCO,COCO,real::COCO,,49,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0050_157124.jpg
EXT_REAL_0051,0,COCO,COCO,real::COCO,,50,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0051_511321.jpg
EXT_REAL_0052,0,COCO,COCO,real::COCO,,51,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0052_2261.jpg
EXT_REAL_0053,0,COCO,COCO,real::COCO,,52,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0053_132703.jpg
EXT_REAL_0054,0,COCO,COCO,real::COCO,,53,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0054_458255.jpg
EXT_REAL_0055,0,COCO,COCO,real::COCO,,54,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0055_579091.jpg
EXT_REAL_0056,0,COCO,COCO,real::COCO,,55,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0056_537672.jpg
EXT_REAL_0057,0,COCO,COCO,real::COCO,,56,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0057_419974.jpg
EXT_REAL_0058,0,COCO,COCO,real::COCO,,57,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0058_180798.jpg
EXT_REAL_0059,0,COCO,COCO,real::COCO,,58,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0059_378873.jpg
EXT_REAL_0060,0,COCO,COCO,real::COCO,,59,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0060_576566.jpg
EXT_REAL_0061,0,COCO,COCO,real::COCO,,60,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0061_268375.jpg
EXT_REAL_0062,0,COCO,COCO,real::COCO,,61,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0062_23023.jpg
EXT_REAL_0063,0,COCO,COCO,real::COCO,,62,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0063_547886.jpg
EXT_REAL_0064,0,COCO,COCO,real::COCO,,63,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0064_190307.jpg
EXT_REAL_0065,0,COCO,COCO,real::COCO,,64,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0065_453040.jpg
EXT_REAL_0066,0,COCO,COCO,real::COCO,,65,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0066_370270.jpg
EXT_REAL_0067,0,COCO,COCO,real::COCO,,66,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0067_252716.jpg
EXT_REAL_0068,0,COCO,COCO,real::COCO,,67,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0068_568290.jpg
EXT_REAL_0069,0,COCO,COCO,real::COCO,,68,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0069_291861.jpg
EXT_REAL_0070,0,COCO,COCO,real::COCO,,69,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0070_36678.jpg
EXT_REAL_0071,0,COCO,COCO,real::COCO,,70,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0071_80659.jpg
EXT_REAL_0072,0,COCO,COCO,real::COCO,,71,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0072_181816.jpg
EXT_REAL_0073,0,COCO,COCO,real::COCO,,72,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0073_23034.jpg
EXT_REAL_0074,0,COCO,COCO,real::COCO,,73,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0074_48564.jpg
EXT_REAL_0075,0,COCO,COCO,real::COCO,,74,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0075_570664.jpg
EXT_REAL_0076,0,COCO,COCO,real::COCO,,75,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0076_368294.jpg
EXT_REAL_0077,0,COCO,COCO,real::COCO,,76,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0077_433192.jpg
EXT_REAL_0078,0,COCO,COCO,real::COCO,,77,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0078_176232.jpg
EXT_REAL_0079,0,COCO,COCO,real::COCO,,78,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0079_477805.jpg
EXT_REAL_0080,0,COCO,COCO,real::COCO,,79,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0080_85195.jpg
EXT_REAL_0081,0,COCO,COCO,real::COCO,,80,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0081_224222.jpg
EXT_REAL_0082,0,COCO,COCO,real::COCO,,81,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0082_309678.jpg
EXT_REAL_0083,0,COCO,COCO,real::COCO,,82,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0083_542073.jpg
EXT_REAL_0084,0,COCO,COCO,real::COCO,,83,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0084_438955.jpg
EXT_REAL_0085,0,COCO,COCO,real::COCO,,84,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0085_393115.jpg
EXT_REAL_0086,0,COCO,COCO,real::COCO,,85,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0086_469652.jpg
EXT_REAL_0087,0,COCO,COCO,real::COCO,,86,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0087_79651.jpg
EXT_REAL_0088,0,COCO,COCO,real::COCO,,87,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0088_323571.jpg
EXT_REAL_0089,0,COCO,COCO,real::COCO,,88,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0089_239717.jpg
EXT_REAL_0090,0,COCO,COCO,real::COCO,,89,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0090_11197.jpg
EXT_REAL_0091,0,COCO,COCO,real::COCO,,90,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0091_376112.jpg
EXT_REAL_0092,0,COCO,COCO,real::COCO,,91,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0092_370375.jpg
EXT_REAL_0093,0,COCO,COCO,real::COCO,,92,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0093_486573.jpg
EXT_REAL_0094,0,COCO,COCO,real::COCO,,93,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0094_46463.jpg
EXT_REAL_0095,0,COCO,COCO,real::COCO,,94,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0095_425227.jpg
EXT_REAL_0096,0,COCO,COCO,real::COCO,,95,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0096_505789.jpg
EXT_REAL_0097,0,COCO,COCO,real::COCO,,96,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0097_453302.jpg
EXT_REAL_0098,0,COCO,COCO,real::COCO,,97,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0098_416343.jpg
EXT_REAL_0099,0,COCO,COCO,real::COCO,,98,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0099_402519.jpg
EXT_REAL_0100,0,COCO,COCO,real::COCO,,99,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0100_192964.jpg
EXT_REAL_0101,0,COCO,COCO,real::COCO,,100,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0101_429598.jpg
EXT_REAL_0102,0,COCO,COCO,real::COCO,,101,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0102_16228.jpg
EXT_REAL_0103,0,COCO,COCO,real::COCO,,102,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0103_210388.jpg
EXT_REAL_0104,0,COCO,COCO,real::COCO,,103,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0104_186282.jpg
EXT_REAL_0105,0,COCO,COCO,real::COCO,,104,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0105_187734.jpg
EXT_REAL_0106,0,COCO,COCO,real::COCO,,105,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0106_378605.jpg
EXT_REAL_0107,0,COCO,COCO,real::COCO,,106,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0107_110884.jpg
EXT_REAL_0108,0,COCO,COCO,real::COCO,,107,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0108_570456.jpg
EXT_REAL_0109,0,COCO,COCO,real::COCO,,108,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0109_484404.jpg
EXT_REAL_0110,0,COCO,COCO,real::COCO,,109,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0110_544306.jpg
EXT_REAL_0111,0,COCO,COCO,real::COCO,,110,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0111_61268.jpg
EXT_REAL_0112,0,COCO,COCO,real::COCO,,111,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0112_116362.jpg
EXT_REAL_0113,0,COCO,COCO,real::COCO,,112,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0113_308476.jpg
EXT_REAL_0114,0,COCO,COCO,real::COCO,,113,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0114_549930.jpg
EXT_REAL_0115,0,COCO,COCO,real::COCO,,114,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0115_439593.jpg
EXT_REAL_0116,0,COCO,COCO,real::COCO,,115,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0116_238013.jpg
EXT_REAL_0117,0,COCO,COCO,real::COCO,,116,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0117_302165.jpg
EXT_REAL_0118,0,COCO,COCO,real::COCO,,117,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0118_410712.jpg
EXT_REAL_0119,0,COCO,COCO,real::COCO,,118,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,data/external_v1/native/real/coco2017/EXT_REAL_0119_274219.jpg
EXT_REAL_0120,0,COCO,COCO,real::COCO,,119,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0120_48924.jpg
EXT_REAL_0121,0,COCO,COCO,real::COCO,,120,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0121_253452.jpg
EXT_REAL_0122,0,COCO,COCO,real::COCO,,121,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0122_66771.jpg
EXT_REAL_0123,0,COCO,COCO,real::COCO,,122,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0123_97585.jpg
EXT_REAL_0124,0,COCO,COCO,real::COCO,,123,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0124_157807.jpg
EXT_REAL_0125,0,COCO,COCO,real::COCO,,124,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0125_154339.jpg
EXT_REAL_0126,0,COCO,COCO,real::COCO,,125,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0126_315219.jpg
EXT_REAL_0127,0,COCO,COCO,real::COCO,,126,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0127_393093.jpg
EXT_REAL_0128,0,COCO,COCO,real::COCO,,127,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0128_167067.jpg
EXT_REAL_0129,0,COCO,COCO,real::COCO,,128,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0129_414340.jpg
EXT_REAL_0130,0,COCO,COCO,real::COCO,,129,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0130_535523.jpg
EXT_REAL_0131,0,COCO,COCO,real::COCO,,130,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0131_67310.jpg
EXT_REAL_0132,0,COCO,COCO,real::COCO,,131,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0132_365207.jpg
EXT_REAL_0133,0,COCO,COCO,real::COCO,,132,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0133_276055.jpg
EXT_REAL_0134,0,COCO,COCO,real::COCO,,133,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,data/external_v1/native/real/coco2017/EXT_REAL_0134_89271.jpg
EXT_REAL_0135,0,COCO,COCO,real::COCO,,134,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0135_209747.jpg
EXT_REAL_0136,0,COCO,COCO,real::COCO,,135,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0136_551822.jpg
EXT_REAL_0137,0,COCO,COCO,real::COCO,,136,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0137_442463.jpg
EXT_REAL_0138,0,COCO,COCO,real::COCO,,137,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0138_229311.jpg
EXT_REAL_0139,0,COCO,COCO,real::COCO,,138,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0139_439854.jpg
EXT_REAL_0140,0,COCO,COCO,real::COCO,,139,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0140_418062.jpg
EXT_REAL_0141,0,COCO,COCO,real::COCO,,140,TRAIN,TRAIN,TRAIN,TRAIN,data/external_v1/native/real/coco2017/EXT_REAL_0141_88218.jpg
