image_id,binary_label,source_dataset,generator,canonical_generator_id,prompt_group,real_domain,path,sha256,fold_1_role,fold_2_role,fold_3_role,fold_4_role
pilot_000010,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_24828.JPEG,7a8f1a24e8c5036f10842a989288a7938065ac960f519054e4f9009c759923e7,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000011,1,Tiny-GenImage,VQDM,tiny::VQDM,,,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_001_vqdm_00085.png,5d715759e54a649ad139d18b79d374b6e283028cd37d4df0c80b853ca34fa64a,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000012,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_14342.JPEG,af9503b14543a2367a2cebe3eac79de178f59749fdbd784c3b4a2b39b2c4de1b,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000013,1,Tiny-GenImage,Wukong,tiny::Wukong,,,data/raw/tiny-genimage/images/Wukong/0_wukong_image104.png,aa3e5c7a2bad73cb3701b66abe36e7257036c183385f0e866b848a40d61b114e,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000014,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_13625.JPEG,27de8e99427ffc7c857c69bc4cfb40f92ca74cb4dfeb91bbe6463b372b5b0932,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000015,1,Tiny-GenImage,ADM,tiny::ADM,,,data/raw/tiny-genimage/images/ADM/100_adm_127.PNG,0c36b19b5ee3d43c55e2bfbe9601423d7f9ddd29e90e43d75f16073372e4d7ea,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000016,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_4572.JPEG,aadefb43cca2b76a14e341ce414c120232e4481c68266110148a7755c802aba9,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000017,1,Tiny-GenImage,BigGAN,tiny::BigGAN,,,data/raw/tiny-genimage/images/BigGAN/001_biggan_00033.png,3d5c62b727252d915265e7cd9b634e4ddf34df560630fbfeb74a7602f22ca2d7,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000018,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_7819.JPEG,ab48025883bc975cbd0e77e7ed52d17ae9e746e6946fe32a7f1f6129f50d7595,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION
pilot_000019,1,Tiny-GenImage,GLIDE,tiny::GLIDE,,,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00060.png,747d5d531bdda5b9274aa25a42881bc8703efe2c354cbed624babe4de4c57c97,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000020,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_7277.JPEG,c7730500a01087e3d95f59091c2e1d2fedaddb0656c0434f6d156e57a40225dd,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION
pilot_000021,1,Tiny-GenImage,Midjourney,tiny::Midjourney,,,data/raw/tiny-genimage/images/Midjourney/0_midjourney_199.png,72af0afae4d274611dbf438df87230a694e1ba665b3c558ab04542979cd154d1,TRAIN,TRAIN,TRAIN,HOLDOUT_VALIDATION
pilot_000022,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_6169.JPEG,2d58f9ad5ce0813a9a13aa6a6e0b608615a47a44e5ae577c8215359e8fe6983e,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION
pilot_000023,1,Tiny-GenImage,SD15,tiny::SD15,,,data/raw/tiny-genimage/images/SD15/001_sdv5_00188.png,c7136f8fcb8903483248afaa2ea25a52a3afcf84ec0cbf1aedee535fc8502559,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000024,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_8045.JPEG,374c42adbe19c385b22b35a6505710ea26f5b49c34b79276b46e52a2d951909b,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000025,1,Tiny-GenImage,VQDM,tiny::VQDM,,,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_002_vqdm_00088.png,da3220d91e2183a9d54c13b55b811d91c40b064d8112d789cce3bb3f6a6dbb71,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000026,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_2577.JPEG,cd94faaa61d5f65d1649bb42d0eb863ca55aa00042046572a01b5cede5024fff,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT
pilot_000027,1,Tiny-GenImage,Wukong,tiny::Wukong,,,data/raw/tiny-genimage/images/Wukong/0_wukong_image123.png,e4bb3e7e1f60b8c477368d5cc9b2e27d24be593516048568a75f302858881055,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000028,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_21052.JPEG,7d79d21265a3a1d5d7d608a32db21d79fafee82044bbd0aca054a0052dbacf91,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION
pilot_000029,1,Tiny-GenImage,ADM,tiny::ADM,,,data/raw/tiny-genimage/images/ADM/100_adm_168.PNG,c3c62440a4e1592f037f84ea60911cd4942e3398bf394d6740c0ec3a6ea430ae,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000030,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_6853.JPEG,66790d56c6d2a7032f6971b6da28e1f2a9aae50255efd3b18ea02f8084e34ead,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000031,1,Tiny-GenImage,BigGAN,tiny::BigGAN,,,data/raw/tiny-genimage/images/BigGAN/002_biggan_00010.png,e0dedca201271c189d4c98a7d53969cb6b4fa453401c1a36e6de725223ac6c4a,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000032,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_12060.JPEG,634493a7c32bbc923e40fc7e36a6523d7698b463d5fee2c2d6b627bcd13b7d33,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000033,1,Tiny-GenImage,GLIDE,tiny::GLIDE,,,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00118.png,cecf58a42a8b1895813160741d8ab71600e29f12f696717356f9ba7a01ab1c5d,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000034,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_8013.JPEG,3bb9fa708e4d33af05ba78531ba727921ab720967faa9840a2d5daf3530c19e9,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000035,1,Tiny-GenImage,Midjourney,tiny::Midjourney,,,data/raw/tiny-genimage/images/Midjourney/100_midjourney_32.png,50a50b196c9e54f7729de021216e3caa20909421568f4d12d62f140bbc37b008,TRAIN,TRAIN,TRAIN,HOLDOUT_VALIDATION
pilot_000036,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_21051.JPEG,4cb955b665bcfeaa8233ff558246fe1887ee5578cc24dc3ee27defa86fbb4eb0,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000037,1,Tiny-GenImage,SD15,tiny::SD15,,,data/raw/tiny-genimage/images/SD15/002_sdv5_00037.png,1bf1d2eb5ef0f3e55d7e9a54f6fd0b591c19f2c81df39707db1f9d6383ac5cd6,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000038,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_13771.JPEG,0c85f2dbf19f4d302762fa167e8bde2e98258a40dcf74a70236ae498478a9953,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION
pilot_000039,1,Tiny-GenImage,VQDM,tiny::VQDM,,,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_002_vqdm_00166.png,50d9e172792f2357457cbf54f5eebb4db392e04a4a58ae4ee59dc9a4ea8ac23c,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000040,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01491361_6788.JPEG,7d950979cf680bcdc24b24c2f92fc5d201ce365e07c5d8ffe581678b14fd7778,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000041,1,Tiny-GenImage,Wukong,tiny::Wukong,,,data/raw/tiny-genimage/images/Wukong/100_wukong_image108.png,80612a60afd1236902fc71d2b2fe9f067dfbcda0cf12a3371866886b16efff64,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000042,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_31953.JPEG,d3d98079aea2f17c90eea49c3ab2e455d3dfd1b9fda2e3c3b99756479723ddaf,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT
pilot_000043,1,Tiny-GenImage,ADM,tiny::ADM,,,data/raw/tiny-genimage/images/ADM/101_adm_49.PNG,fe58d93ce89c30abde16bc5336b0d8b4f3114ba3e60cc337dbb5d73012362079,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000044,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01484850_24809.JPEG,c7352d230cf3f76bfd6441a76cccea6e11e7b82aa7e025aa059e79a44fd998fc,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000045,1,Tiny-GenImage,BigGAN,tiny::BigGAN,,,data/raw/tiny-genimage/images/BigGAN/002_biggan_00163.png,dbc04ba6a22e5ebe06486038490c99a5d2e8f4cf923963e5dcfd1222ae26a6cd,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000046,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_12193.JPEG,f233c024468b32ec4954c04e2e134eb2fd55a84e3eb409f15f72b31da0fbd55b,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000047,1,Tiny-GenImage,GLIDE,tiny::GLIDE,,,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_002_glide_00172.png,340fc1246030e693787f5125cd5bce939df6ecfa5f11de05792d3988c8d2b40d,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000048,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_17070.JPEG,19139be8f1b190a120b4e4f63dd36bf7a91b9fb06ff057fb2eebb5bd6b2f7a97,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000049,1,Tiny-GenImage,Midjourney,tiny::Midjourney,,,data/raw/tiny-genimage/images/Midjourney/101_midjourney_40.png,29a6009a3b584635e45da05dbf358fcaad7eddf2bf6ba38928f0a91c4f953c08,TRAIN,TRAIN,TRAIN,HOLDOUT_VALIDATION
pilot_000050,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01484850_10900.JPEG,5ff2776a929b111d5de3c4afd0978db0efc284900fabd898ea2e9699f1061969,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000051,1,Tiny-GenImage,SD15,tiny::SD15,,,data/raw/tiny-genimage/images/SD15/002_sdv5_00069.png,f75a0ab14e720e68cfd2002550eee34bbbffa460d99d75ad500436f6032929c8,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000052,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_883.JPEG,01d5e6659e1bca8768d2e79af0b7f9720cca5aff414c1dd8dddd39c3941ac88a,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000053,1,Tiny-GenImage,VQDM,tiny::VQDM,,,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_003_vqdm_00157.png,7038b31955417580f89e31c1a57f520c9184ebdfa43f4ce64a0bcbc3f7b4ee12,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000054,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01491361_8042.JPEG,a829e7ffcdbc4070244324141623d699905b7f0af1fc502a09bd87e31a40af54,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000055,1,Tiny-GenImage,Wukong,tiny::Wukong,,,data/raw/tiny-genimage/images/Wukong/100_wukong_image111.png,c00687f909cad75caa51bd35493a2b203c64b5ef13a94213ec05f5740bbd06c4,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000056,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01440764_3273.JPEG,04360ae81488fc59b85060b38af23b4083eb3b35356283ad7e0f3e3800c49fb8,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000057,1,Tiny-GenImage,ADM,tiny::ADM,,,data/raw/tiny-genimage/images/ADM/101_adm_56.PNG,5cd405831f25389007a2be8ba11671866effbd7fd0480e88ea2def952b2ae76e,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000058,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01491361_7778.JPEG,bd90e656cde0f88b54ce69343277a4aaf2193191c8d2952dcd0d2baa359bd8dd,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000059,1,Tiny-GenImage,BigGAN,tiny::BigGAN,,,data/raw/tiny-genimage/images/BigGAN/003_biggan_00052.png,06d964b809d51d9c7c42a855c83a3b9edf06aa41039342713ebb9d19e4e7854a,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000060,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_12234.JPEG,7fd59a590cff7040a9e3af481b18c30caec0329814d8939b0f24965766c36edd,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000061,1,Tiny-GenImage,GLIDE,tiny::GLIDE,,,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_003_glide_00175.png,cdca7ca43965eb0e0f9546473d46100ad9616e71b52ed97dffe500707b3a6bcd,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000062,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_23104.JPEG,895d6af4972dff677dc1cea89827408d8b64b063c2870537afe3cd815473b35d,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION,REAL_VALIDATION
pilot_000063,1,Tiny-GenImage,Midjourney,tiny::Midjourney,,,data/raw/tiny-genimage/images/Midjourney/102_midjourney_134.png,52ad46d9a9eed54ac698c4847df178cf93177b57c510120c424f379299f1de74,TRAIN,TRAIN,TRAIN,HOLDOUT_VALIDATION
pilot_000064,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01484850_11263.JPEG,be38ce4be70d71cf5cd4ae9905fd19edbd973a37f8d2710af190ffca92911f7f,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000065,1,Tiny-GenImage,SD15,tiny::SD15,,,data/raw/tiny-genimage/images/SD15/002_sdv5_00138.png,7d97bd4bde82605a8f2d279da1ecaf04e5ab2ca85822b5da07bd83d950753764,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000066,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_9799.JPEG,bdf5b6ef00177b4f67c84fce599586ef304fdb63efeca508c5be63f58d3d0999,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT
pilot_000067,1,Tiny-GenImage,VQDM,tiny::VQDM,,,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_004_vqdm_00018.png,486098ccdd7892cd10fad1666724c085a03b00e69df4ba8288d5c5d2c79ea4e4,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000068,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01494475_248.JPEG,9002794015a3dbb5d8905ae789328d07b59ca9371b8acb0e77f9eb7a32b4d152,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000069,1,Tiny-GenImage,Wukong,tiny::Wukong,,,data/raw/tiny-genimage/images/Wukong/100_wukong_image19.png,a531621b36f534861c50a05f3eb2dba0e2a203d08ffc3d63c3952f512491770b,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000070,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_860.JPEG,55f5e316583c623b020047708dd4d2f94cc23c39e8a5661e068ddbb20bcdfdf9,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000071,1,Tiny-GenImage,ADM,tiny::ADM,,,data/raw/tiny-genimage/images/ADM/102_adm_12.PNG,a931c4676d1f43ed1185be53cc6bce3c60affd1524d6bf2367ef24aac8dd2ba2,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000072,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01491361_8276.JPEG,5f8d88769525e3e41fd52dc4952aa1c7c615cf25d86a6a4d9a6472b86e646c02,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000073,1,Tiny-GenImage,BigGAN,tiny::BigGAN,,,data/raw/tiny-genimage/images/BigGAN/003_biggan_00058.png,e2f7069ada0b0085eff40ca50198c4782bf942ed8b0c99be1116cb69367ddfed,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000074,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01484850_32144.JPEG,3a9c7bd07b05964dc22a102ac111d070093a444ea88a026e448f447153e84bc4,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000075,1,Tiny-GenImage,GLIDE,tiny::GLIDE,,,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_006_glide_00167.png,c13778ad9cc602aabedb33fea62168e399da4923ca8bbd22986704168db0ec49,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000076,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_24148.JPEG,bb8afa424730ba330cb316f676691cc6fcbd8569ddb37addb786569dd6f0cc1e,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT
pilot_000077,1,Tiny-GenImage,Midjourney,tiny::Midjourney,,,data/raw/tiny-genimage/images/Midjourney/102_midjourney_96.png,2269fbf2e1c4b7fdf95b92be3ebe4447c1ce174ec0dc9dd7200e22126c30a46c,TRAIN,TRAIN,TRAIN,HOLDOUT_VALIDATION
pilot_000078,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01484850_12507.JPEG,4d86e7df0695a2dfb89f9ab179b004fba1544e31c2acadce93533c8f2eb7e227,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000079,1,Tiny-GenImage,SD15,tiny::SD15,,,data/raw/tiny-genimage/images/SD15/003_sdv5_00037.png,fb2e0dcdd6f682501abac7d3f954a3e944595ae7ad7eba5882bfadfb8268feee,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000080,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01484850_16339.JPEG,64ea7381b1cbe2b8ee5ebd436d85dac7890ee6e0635ed6b44958021b45a62a8e,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000081,1,Tiny-GenImage,VQDM,tiny::VQDM,,,data/raw/tiny-genimage/images/VQDM/VQDM_1000_200_00_004_vqdm_00115.png,32843df46d56a1f085ea10b870aab01ffed4c85cbb4a053c4386652d1611a222,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000082,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01494475_3482.JPEG,61339f4264fda7a4c46d4f2721fe88b1ab71307e947c7debdaff9fdda70db1db,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000083,1,Tiny-GenImage,Wukong,tiny::Wukong,,,data/raw/tiny-genimage/images/Wukong/100_wukong_image49.png,d7898e8d33d0ed758ff37b64bbc640cdebb179f153d1ab9212777ac9fb290228,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000084,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01491361_11372.JPEG,7fc26b298aaad98aa4d9da320a35dce26e7e084b48aac3baf138fddc8c9454d7,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000085,1,Tiny-GenImage,ADM,tiny::ADM,,,data/raw/tiny-genimage/images/ADM/103_adm_118.PNG,196fb6411abb4eb4b886e9b4961f0ccec2905a0d30f575abc35fca57ff72151c,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
pilot_000086,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01494475_20271.JPEG,7abc864c6aeb76c6bdcce5a0229fd1cd9eab4816e2a7f4a60824672561585855,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000087,1,Tiny-GenImage,BigGAN,tiny::BigGAN,,,data/raw/tiny-genimage/images/BigGAN/004_biggan_00054.png,0d8066379f0f1464081daff04a291f6f41a63a5b9d768790171c5c62dfc6e8b9,TRAIN,HOLDOUT_VALIDATION,TRAIN,TRAIN
pilot_000088,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01491361_11353.JPEG,6aa248b85ffabe43e671bfc905e5813711dd785f6e461a8cd19875697a47c082,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000089,1,Tiny-GenImage,GLIDE,tiny::GLIDE,,,data/raw/tiny-genimage/images/GLIDE/GLIDE_1000_200_00_007_glide_00011.png,4b3ba7c652700c8ff84cf57c6463c9488dca6a7b12b6ebadecda50bf333d26cb,TRAIN,TRAIN,HOLDOUT_VALIDATION,TRAIN
pilot_000090,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01443537_24543.JPEG,17b0e001cb33b5402ccf7853e4bd74c3baef654f0ac6e05a49fe193b06410691,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT,REAL_INTERNAL_HOLDOUT
pilot_000091,1,Tiny-GenImage,Midjourney,tiny::Midjourney,,,data/raw/tiny-genimage/images/Midjourney/104_midjourney_113.png,fcbebdb823453e55b66a0887f0a8eb0c9a988fe95c953589dc7a90de0a91aaad,TRAIN,TRAIN,TRAIN,HOLDOUT_VALIDATION
pilot_000092,0,Tiny-GenImage,Real,real::Tiny-GenImage,,Tiny,data/raw/tiny-genimage/images/Real/n01484850_24749.JPEG,009a25f9a756eb92ae3427ba37c1bbb73f1947fdaacc2175b14d90789b98c2b2,TRAIN,TRAIN,TRAIN,TRAIN
pilot_000093,1,Tiny-GenImage,SD15,tiny::SD15,,,data/raw/tiny-genimage/images/SD15/003_sdv5_00084.png,92b347c8101552269eaa066202f3077051aef4c927d7bd123aa3303922059d26,HOLDOUT_VALIDATION,TRAIN,TRAIN,TRAIN
