image_id,prompt_id,generator,source_dataset,dataset_revision,label,native_path,source_hf_path,width,height,format,sha256,provenance_status
QWEN_0042_Qwen_Image_2512,42,Qwen-Image-2512,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image-2512/000042_8c1f3ca8.jpg,images/Qwen-Image-2512/000042_8c1f3ca8.jpg,1024,1024,JPEG,8e4744780d74e669c2b1c93f650c077c75085ab01bbad3f62bb50297f43654e6,verified
QWEN_0042_Qwen_Image,42,Qwen-Image,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image/000042_d20ba6e6.jpg,images/Qwen-Image/000042_d20ba6e6.jpg,1024,1024,JPEG,e44087aac793c5d7a738452b6b4e05d905900c949a3e9fd66da0d667990f11b6,verified
QWEN_0042_GPT_Image_1,42,GPT-Image-1,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GPT-Image-1/000042_777a3c06.png,images/GPT-Image-1/000042_777a3c06.png,1024,1024,PNG,432b819f23615abc3bc8997b58e3ac560863f7c5f49fbbc6f4b6bfce0a47d865,verified
QWEN_0042_GPT_Image_15,42,GPT-Image-1.5,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GPT-Image-1.5/000042_9131f1d4.png,images/GPT-Image-1.5/000042_9131f1d4.png,1024,1024,PNG,173c758d4f9b563b5f2cbfe501ec148793afc9f9552d6d4b66e46743d5253acd,verified
QWEN_0042_HunyuanImage_30,42,HunyuanImage-3.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/HunyuanImage-3.0/000042_66901b79.png,images/HunyuanImage-3.0/000042_66901b79.png,1024,1024,PNG,a6a1564411a55980cc34aa4f942d9bfdfe915b3331180d891da4232b4f94f6dc,verified
QWEN_0042_Imagen_40,42,Imagen-4.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Imagen-4.0/000042_da1cfc75.png,images/Imagen-4.0/000042_da1cfc75.png,1024,1024,PNG,3c8446c4bbe050cab0085a7b50a7705aa7d5f7b7601b604b07da80ae0ecd6f1d,verified
QWEN_0042_Imagen_40_Ultra,42,Imagen-4.0-Ultra,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Imagen-4.0-Ultra/000042_b9ab0bc7.png,images/Imagen-4.0-Ultra/000042_b9ab0bc7.png,1024,1024,PNG,d561487620944817b09c3794988527abbfcaec6cba9ad10eccb539a53e73a9d0,verified
QWEN_0042_FLUX2_pro,42,FLUX.2-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/FLUX.2-pro/000042_95c6b428.png,images/FLUX.2-pro/000042_95c6b428.png,1024,1024,PNG,3cf0bbef1fddfb1e1f282f1e6a7e3b9cda914a5f5b9bf8a0d5a6c80883cb978f,verified
QWEN_0060_Qwen_Image_20_pro,60,Qwen-Image-2.0-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image-2.0-pro/000060_94889bc8.png,images/Qwen-Image-2.0-pro/000060_94889bc8.png,1024,1024,PNG,9379e10cd04404f2f1697e00805890384d7d44ad5c7993b5df30b8a5f0624f19,verified
QWEN_0060_gpt_image_2,60,gpt-image-2,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/gpt-image-2/000060_24c37e53.png,images/gpt-image-2/000060_24c37e53.png,1024,1024,PNG,0d90df1056e4dbc111a2d0ee01005ac58b39ce50d98fbe066a369763c25c611c,verified
QWEN_0060_FLUX2_max,60,FLUX.2_max,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/FLUX.2_max/000060_b20e5ef4.jpg,images/FLUX.2_max/000060_b20e5ef4.jpg,1024,1024,JPEG,a31c787cb8f7670741d8549dc27cf3a69ccd44b036b915f9072d0e55a40f74f0,verified
QWEN_0060_nano_banana_20,60,nano-banana-2.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/nano-banana-2.0/000060_1c089a0e.jpg,images/nano-banana-2.0/000060_1c089a0e.jpg,1024,1024,JPEG,1ac79a3576473bc1214d62ccd6070f633a1d490879f6ee2d1bfcfb217d637b8c,verified
QWEN_0060_nano_banana_pro,60,nano-banana-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/nano-banana-pro/000060_8e793555.png,images/nano-banana-pro/000060_8e793555.png,1024,1024,PNG,c9a3722275acc1594ecce32ae53d48725936be842eebe5eed06da37799aaafd0,verified
QWEN_0060_Seedream_40,60,Seedream-4.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-4.0/000060_028980e9.jpg,images/Seedream-4.0/000060_028980e9.jpg,1024,1024,JPEG,939da2c0ae305dbdc2395b23bff350bd9839da5844f80827a0d118990cc8e3c1,verified
QWEN_0060_Seedream_45,60,Seedream-4.5,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-4.5/000060_a4bb9959.jpg,images/Seedream-4.5/000060_a4bb9959.jpg,1024,1024,JPEG,55dd56c88327a97fc5acb3ffe1dc2454962c90199cdd2ce78c69a63a9e9e6b29,verified
QWEN_0060_Seedream_50,60,Seedream-5.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-5.0/000060_6efad803.jpg,images/Seedream-5.0/000060_6efad803.jpg,1024,1024,JPEG,de85313a31abb991c6cd5ee06ab282bf55dec53786df61b32cff864f0d19a567,verified
QWEN_0060_GLM_Image,60,GLM-Image,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GLM-Image/000060_395e4bef.jpg,images/GLM-Image/000060_395e4bef.jpg,1024,1024,JPEG,56749563877ab4f85bcdd29f6db4f62c0b4d17b115a1dfa30eb96e62f7c90fb3,verified
QWEN_0060_kling_v2_1,60,kling_v2_1,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/kling_v2_1/000060_c7da96fe.jpg,images/kling_v2_1/000060_c7da96fe.jpg,1024,1024,JPEG,31a72a6ade5e83bcc8bfbc4f102daa89617454bd53695a892c11e4c764265d80,verified
QWEN_0060_Qwen_Image_2512,60,Qwen-Image-2512,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image-2512/000060_cb63ec97.jpg,images/Qwen-Image-2512/000060_cb63ec97.jpg,1024,1024,JPEG,396cbc2222dc7221ffa53a7a6a5d1e7bd7cd6473a2d45cec3deea67d0bfcb6c9,verified
QWEN_0060_Qwen_Image,60,Qwen-Image,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image/000060_50f0384d.jpg,images/Qwen-Image/000060_50f0384d.jpg,1024,1024,JPEG,177728077039e9aaafd1e861f7cb5bfa34c45a18c2121b7d9be91720ff5c5fcd,verified
QWEN_0060_GPT_Image_1,60,GPT-Image-1,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GPT-Image-1/000060_414b7311.png,images/GPT-Image-1/000060_414b7311.png,1024,1024,PNG,77a42dcc586eec4124f569c629551ed779101e26d9a820cdac2c58823020c023,verified
QWEN_0060_GPT_Image_15,60,GPT-Image-1.5,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GPT-Image-1.5/000060_62d0ae50.png,images/GPT-Image-1.5/000060_62d0ae50.png,1024,1024,PNG,f7e8e4ff54523f4bea5af2339d25debd9b28dcd542093b0ed6874db64cfefe42,verified
QWEN_0060_HunyuanImage_30,60,HunyuanImage-3.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/HunyuanImage-3.0/000060_770a0f6b.png,images/HunyuanImage-3.0/000060_770a0f6b.png,1024,1024,PNG,1a9056cf8ba7212e355a9352862bb2d14bc7e7ad1dc655e0c7d7486f19cb8b9f,verified
QWEN_0060_Imagen_40,60,Imagen-4.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Imagen-4.0/000060_cebfd60a.png,images/Imagen-4.0/000060_cebfd60a.png,1024,1024,PNG,dd371740dd86312103bd7ee47bd41cb12765a56656f06019522d56ff14949951,verified
QWEN_0060_Imagen_40_Ultra,60,Imagen-4.0-Ultra,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Imagen-4.0-Ultra/000060_d78579d6.png,images/Imagen-4.0-Ultra/000060_d78579d6.png,1024,1024,PNG,4274ed7814c3d9486e449bab683708a33ed9cee7912302983aba732d0ae1f27f,verified
QWEN_0060_FLUX2_pro,60,FLUX.2-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/FLUX.2-pro/000060_99f0ade3.png,images/FLUX.2-pro/000060_99f0ade3.png,1024,1024,PNG,e9c8dc806888fecfb17cc8be8927afba55ab58433dd3ed878ff9f8efd33f48d1,verified
QWEN_0065_Qwen_Image_20_pro,65,Qwen-Image-2.0-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image-2.0-pro/000065_73513ddc.png,images/Qwen-Image-2.0-pro/000065_73513ddc.png,1024,1024,PNG,baa5f8b94f330afd7bf9cf84d31edf8937d5febad1259f8c1414d40d94bce908,verified
QWEN_0065_gpt_image_2,65,gpt-image-2,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/gpt-image-2/000065_7d557c2f.png,images/gpt-image-2/000065_7d557c2f.png,1024,1024,PNG,78b1ed3bcc28153c8b92797818a7b1369ec27d78f90142c8fc8b39944b98011d,verified
QWEN_0065_FLUX2_max,65,FLUX.2_max,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/FLUX.2_max/000065_da6842fb.jpg,images/FLUX.2_max/000065_da6842fb.jpg,1024,1024,JPEG,904f444316b48b671dbfcf463937dc7ebe06ff8db39f23fea659a67b42bd49ff,verified
QWEN_0065_nano_banana_20,65,nano-banana-2.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/nano-banana-2.0/000065_11e793be.jpg,images/nano-banana-2.0/000065_11e793be.jpg,1024,1024,JPEG,bf38851ad6242bc1ad6c3b95e0417bbc01f7246d22d57123dc42d2f87237329c,verified
QWEN_0065_nano_banana_pro,65,nano-banana-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/nano-banana-pro/000065_491a70c9.png,images/nano-banana-pro/000065_491a70c9.png,1024,1024,PNG,fd67ecb8a93f80603a7b305ffafa26e1ffd5b19ac2fe3836f3fd8b7f5be94499,verified
QWEN_0065_Seedream_40,65,Seedream-4.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-4.0/000065_ca5e4d0a.jpg,images/Seedream-4.0/000065_ca5e4d0a.jpg,1024,1024,JPEG,8c70c1dc8d25ffb5788d1ac552a890d95da82570d238a115a99d655e53bae516,verified
QWEN_0065_Seedream_45,65,Seedream-4.5,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-4.5/000065_6d83a8c4.jpg,images/Seedream-4.5/000065_6d83a8c4.jpg,1024,1024,JPEG,11a284401bb3883d25e4f3de38751bfd6365f39c006e0c150bb189340ae2ea31,verified
QWEN_0065_Seedream_50,65,Seedream-5.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-5.0/000065_2d2ea5a8.jpg,images/Seedream-5.0/000065_2d2ea5a8.jpg,1024,1024,JPEG,2dc96e8043a683eae46310b424691fd05fd783d8d2434861a1bcf1ea1305b59d,verified
QWEN_0065_GLM_Image,65,GLM-Image,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GLM-Image/000065_ee3633e2.jpg,images/GLM-Image/000065_ee3633e2.jpg,1024,1024,JPEG,401ca4c7a7ba183804b911d3681e86903eb8a1a4fdae4913ee0579789ae65ddf,verified
QWEN_0065_kling_v2_1,65,kling_v2_1,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/kling_v2_1/000065_025125db.jpg,images/kling_v2_1/000065_025125db.jpg,1024,1024,JPEG,017e7270abfe43db569acee8124d9f4fe1632ee7029e1998a3895843056ed2cd,verified
QWEN_0065_Qwen_Image_2512,65,Qwen-Image-2512,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image-2512/000065_8fa49c31.jpg,images/Qwen-Image-2512/000065_8fa49c31.jpg,1024,1024,JPEG,f07af41c22c234200349664cb338463e102fa9d71bdb66576910e6dab8ad571a,verified
QWEN_0065_Qwen_Image,65,Qwen-Image,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image/000065_28594b5d.jpg,images/Qwen-Image/000065_28594b5d.jpg,1024,1024,JPEG,35f95f32520818b7e23689d39b3527d0f4e8e5c36bbf7bd52cd3905ed9505372,verified
QWEN_0065_GPT_Image_1,65,GPT-Image-1,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GPT-Image-1/000065_da4d941b.png,images/GPT-Image-1/000065_da4d941b.png,1024,1024,PNG,fa4d76b196444d78fbd9fe88a662eefd2ba831489a0361babc83834adb3d409d,verified
QWEN_0065_GPT_Image_15,65,GPT-Image-1.5,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GPT-Image-1.5/000065_46ac1781.png,images/GPT-Image-1.5/000065_46ac1781.png,1024,1024,PNG,cdc9c4bc40cd52b2eb648844d5bca44867c5f9b31bfe39e769ae35f2a2bb5cf7,verified
QWEN_0065_HunyuanImage_30,65,HunyuanImage-3.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/HunyuanImage-3.0/000065_d3bced0a.png,images/HunyuanImage-3.0/000065_d3bced0a.png,1024,1024,PNG,cff3355e892405c858da369a78777f8cee8c98cfa81077e8d786be5cb9995b43,verified
QWEN_0065_Imagen_40,65,Imagen-4.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Imagen-4.0/000065_a1cc026c.png,images/Imagen-4.0/000065_a1cc026c.png,1024,1024,PNG,5ab998cc14d79ebded2dff44ddcb27ee16001f5dc35a7263fc63cd6bb68f6737,verified
QWEN_0065_Imagen_40_Ultra,65,Imagen-4.0-Ultra,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Imagen-4.0-Ultra/000065_1cf37e3d.png,images/Imagen-4.0-Ultra/000065_1cf37e3d.png,1024,1024,PNG,85fa35f8bb08b33651f635e23a6d1ff063a9a90a21bb7e6149c559d149255011,verified
QWEN_0065_FLUX2_pro,65,FLUX.2-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/FLUX.2-pro/000065_0064350d.png,images/FLUX.2-pro/000065_0064350d.png,1024,1024,PNG,72201be9ead405ac452305a749826d9add871e39fe59234b7c16ab9ab8518456,verified
QWEN_0074_Qwen_Image_20_pro,74,Qwen-Image-2.0-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image-2.0-pro/000074_63caa675.png,images/Qwen-Image-2.0-pro/000074_63caa675.png,1024,1024,PNG,3bd442389139289b8dec8a4b2b8bd56fa7e26d442323dd8eef997bb585facca5,verified
QWEN_0074_gpt_image_2,74,gpt-image-2,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/gpt-image-2/000074_1186ddf0.png,images/gpt-image-2/000074_1186ddf0.png,1024,1024,PNG,9229a41192bed8047c8bcdca93d299ffc557b57bed416df98036be6aac2e6709,verified
QWEN_0074_FLUX2_max,74,FLUX.2_max,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/FLUX.2_max/000074_af943dc0.jpg,images/FLUX.2_max/000074_af943dc0.jpg,1024,1024,JPEG,276532aa638cd22546ea1ada5e9ba39c803a341c182609d0c6a602e94e5affca,verified
QWEN_0074_nano_banana_20,74,nano-banana-2.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/nano-banana-2.0/000074_ed0b0262.jpg,images/nano-banana-2.0/000074_ed0b0262.jpg,1024,1024,JPEG,2287e2b32bdc20d2879a4d401e90690aa0c08408eaa03480c379f45b58ca76a6,verified
QWEN_0074_nano_banana_pro,74,nano-banana-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/nano-banana-pro/000074_1b8fbe70.png,images/nano-banana-pro/000074_1b8fbe70.png,1024,1024,PNG,98312afab837e66a94f672413e5321a76bcacda97058e701de5343072792ae4c,verified
QWEN_0074_Seedream_40,74,Seedream-4.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-4.0/000074_8efc0328.jpg,images/Seedream-4.0/000074_8efc0328.jpg,1024,1024,JPEG,2a9cc4ece2fbb361c5cf056883f5a2937ce5e4bd7676c84d8cc6112471c55a4b,verified
QWEN_0074_Seedream_45,74,Seedream-4.5,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-4.5/000074_52b4bdbd.jpg,images/Seedream-4.5/000074_52b4bdbd.jpg,1024,1024,JPEG,075168cc1d7bbc19d9e339005b45dcb2637d5cfce8e154c7f6de4aa97b4b0a30,verified
QWEN_0074_Seedream_50,74,Seedream-5.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Seedream-5.0/000074_8cf03331.jpg,images/Seedream-5.0/000074_8cf03331.jpg,1024,1024,JPEG,f393c5962a1fbe31fa2da9d7a15ebeed0ea69236829899e97af03f9c7b661e72,verified
QWEN_0074_GLM_Image,74,GLM-Image,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GLM-Image/000074_739013f4.jpg,images/GLM-Image/000074_739013f4.jpg,1024,1024,JPEG,c68e44ea51215f20354f89528673da2261d228ca01cb13e896259097ed60497e,verified
QWEN_0074_kling_v2_1,74,kling_v2_1,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/kling_v2_1/000074_750e8272.jpg,images/kling_v2_1/000074_750e8272.jpg,1024,1024,JPEG,fbd8e602e2ec7d28d7d1ad9e9eb3bbdc488fb4f2a11ee060dc65aaa4736f14a0,verified
QWEN_0074_Qwen_Image_2512,74,Qwen-Image-2512,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image-2512/000074_dced166d.jpg,images/Qwen-Image-2512/000074_dced166d.jpg,1024,1024,JPEG,c4954fd1ef3f5269bf3979a30d6a5c05a4faf9eacf7b03137563d4be366be887,verified
QWEN_0074_Qwen_Image,74,Qwen-Image,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Qwen-Image/000074_d42a1960.jpg,images/Qwen-Image/000074_d42a1960.jpg,1024,1024,JPEG,bd71af257766771bfbdabc8f0186214903117d26abaf0f4c1381e3c8a02c97e7,verified
QWEN_0074_GPT_Image_1,74,GPT-Image-1,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GPT-Image-1/000074_d36c9cea.png,images/GPT-Image-1/000074_d36c9cea.png,1024,1024,PNG,b4183d9519b0994ba69268558b000d955a8868d6137c6a3b391858a8e70e831e,verified
QWEN_0074_GPT_Image_15,74,GPT-Image-1.5,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/GPT-Image-1.5/000074_5488f79e.png,images/GPT-Image-1.5/000074_5488f79e.png,1024,1024,PNG,4bc8b80b46b396ff4824887155ffab3f7d6bba3413b385dc7bb6e6f75a1fa437,verified
QWEN_0074_HunyuanImage_30,74,HunyuanImage-3.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/HunyuanImage-3.0/000074_136db846.png,images/HunyuanImage-3.0/000074_136db846.png,1024,1024,PNG,2016ad7bb675823d3b7cfdbb17ef22549fd3bf2e06d1cc770a48c177fc3b1a3f,verified
QWEN_0074_Imagen_40,74,Imagen-4.0,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Imagen-4.0/000074_429f120c.png,images/Imagen-4.0/000074_429f120c.png,1024,1024,PNG,4a8592e0c80dcb7fb05bcd82aa9a8caac9daf9f43f909098b56c3580afa71dd0,verified
QWEN_0074_Imagen_40_Ultra,74,Imagen-4.0-Ultra,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/Imagen-4.0-Ultra/000074_3b3e4bee.png,images/Imagen-4.0-Ultra/000074_3b3e4bee.png,1024,1024,PNG,fe8f4bb1e198826250af26078a1151cfb7a2098030711a7577ca732e9bdabd4d,verified
QWEN_0074_FLUX2_pro,74,FLUX.2-pro,Qwen/Qwen-Image-Bench,d2493deb153b020cf169c7e3f57d15e4dd697038,1,data/external_v2/public/qwen/images/FLUX.2-pro/000074_35798b7e.png,images/FLUX.2-pro/000074_35798b7e.png,1024,1024,PNG,616b5bfc4390acf1fe432d6036fdf3ebf27e6ca5f8e36fbfae5611e881a2e77e,verified
