image_id,source_dataset,dataset_revision,license,acquisition_date,domain,class_name,label,generator,native_path,source_hf_path,width,height,format,mode,sha256,provenance_verified
MLLM_HYB_GPT-Image2-fake_121,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/121.png,images/Raw/Hybrid Images/GPT-Image2-fake/121.png,941,1538,PNG,RGB,b84205980b91787b4fb5fde12b69b32bdc4238d33d2320c62a9ba44f618b6ce6,true
MLLM_HYB_GPT-Image2-fake_122,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/122.png,images/Raw/Hybrid Images/GPT-Image2-fake/122.png,941,1538,PNG,RGB,71a2cfac26a69e21f3f3e2d4c074cea8438caac0187975748a4efab57207082f,true
MLLM_HYB_GPT-Image2-fake_123,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/123.png,images/Raw/Hybrid Images/GPT-Image2-fake/123.png,941,1538,PNG,RGB,f39f7d85d0d602a5a240ad97ec62d429fff82942a4ea72b44699d733213255e0,true
MLLM_HYB_GPT-Image2-fake_124,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/124.png,images/Raw/Hybrid Images/GPT-Image2-fake/124.png,941,1538,PNG,RGB,fd252f6268e8d01e2ddb80186ce7463792ffe0f05e32f4f1ac6d76bbbb0cdd8f,true
MLLM_HYB_GPT-Image2-fake_125,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/125.png,images/Raw/Hybrid Images/GPT-Image2-fake/125.png,941,1538,PNG,RGB,c2b05d1f4ebbfa5afb1a8bb8476e1a1d7d480aac9f8f83c5633a91566944041d,true
MLLM_HYB_GPT-Image2-fake_126,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/126.png,images/Raw/Hybrid Images/GPT-Image2-fake/126.png,941,1538,PNG,RGB,4998cba184cd81dad08c80e95af4bd5d6b6a3fcdb9b69c5282f10a744447aa16,true
MLLM_HYB_GPT-Image2-fake_127,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/127.png,images/Raw/Hybrid Images/GPT-Image2-fake/127.png,941,1538,PNG,RGB,6afd1e71e14d8810520584099a59ae61d936f2547584ed63c1c28fce4a37814b,true
MLLM_HYB_GPT-Image2-fake_128,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/128.png,images/Raw/Hybrid Images/GPT-Image2-fake/128.png,941,1538,PNG,RGB,035a04cf1ab1feebf0d62c1675d1d46c83de52c5d714cca62ca838976e6ca6cb,true
MLLM_HYB_GPT-Image2-fake_129,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/129.png,images/Raw/Hybrid Images/GPT-Image2-fake/129.png,941,1538,PNG,RGB,13b380a63d3a9a9a66061eab1f3ed65e43ffb6d784296765aa7cd6531bd13122,true
MLLM_HYB_GPT-Image2-fake_13,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/13.png,images/Raw/Hybrid Images/GPT-Image2-fake/13.png,941,1563,PNG,RGB,74ad9877027f6fd68cd5c8f1e1b631e81906b27c50d4e7ac2b8f4083c0ff63b1,true
MLLM_HYB_GPT-Image2-fake_130,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/130.png,images/Raw/Hybrid Images/GPT-Image2-fake/130.png,941,1538,PNG,RGB,4e9477ad3dcf82f39b0668ab3a23f6b633311baee136f6b79a828c19daba31d8,true
MLLM_HYB_GPT-Image2-fake_131,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/131.png,images/Raw/Hybrid Images/GPT-Image2-fake/131.png,941,1538,PNG,RGB,1331d9696fab678faa63dbc78339e859f904d7c9673a1b2f96d27293cfb2e854,true
MLLM_HYB_GPT-Image2-fake_132,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/132.png,images/Raw/Hybrid Images/GPT-Image2-fake/132.png,941,1538,PNG,RGB,c31c50de42f41a1046b37883457d54d136ea7d10b6dab70b4b162c9c19309889,true
MLLM_HYB_GPT-Image2-fake_133,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/133.png,images/Raw/Hybrid Images/GPT-Image2-fake/133.png,941,1538,PNG,RGB,99c501bbc9979de6b5ea63dd215e98a3d1573b730fc86517f3c35fdbe8b044d9,true
MLLM_HYB_GPT-Image2-fake_134,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/134.png,images/Raw/Hybrid Images/GPT-Image2-fake/134.png,941,1538,PNG,RGB,3c28d11f71d112c3d957a02d8605823441b2edd37297292f3552474d0410c070,true
MLLM_HYB_GPT-Image2-fake_135,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/135.png,images/Raw/Hybrid Images/GPT-Image2-fake/135.png,941,1538,PNG,RGB,e2420ebd77a18f6c67a146c819a7e77e25b1ebf05061c976fff641f90b12bc94,true
MLLM_HYB_GPT-Image2-fake_136,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/136.png,images/Raw/Hybrid Images/GPT-Image2-fake/136.png,941,1538,PNG,RGB,7a6637ec1a90a12e0b3d71074327b8748d4bafe9ffddcbf3e9baaa3bf10ae51d,true
MLLM_HYB_GPT-Image2-fake_137,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/137.png,images/Raw/Hybrid Images/GPT-Image2-fake/137.png,1122,1290,PNG,RGB,b61e9f160196b05aacc41a13655a1ce95a063944766a0cab8265146cade30f18,true
MLLM_HYB_GPT-Image2-fake_138,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/138.png,images/Raw/Hybrid Images/GPT-Image2-fake/138.png,941,1538,PNG,RGB,c11dd8cc9a9e419123ee42de2c51bf5124c26aefe8ee53dbf737dfcb2167c655,true
MLLM_HYB_GPT-Image2-fake_139,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/139.png,images/Raw/Hybrid Images/GPT-Image2-fake/139.png,1122,1290,PNG,RGB,459bd12fd03c90b0533ad9dcff2f9ce1e7d36d68d7ae37bdbcea98976caa2cee,true
MLLM_HYB_GPT-Image2-fake_14,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/14.png,images/Raw/Hybrid Images/GPT-Image2-fake/14.png,941,1563,PNG,RGB,952689ad30678699e0640eb3d99193817529d8c9b15aa6ecf28eb6734104d8ec,true
MLLM_HYB_GPT-Image2-fake_140,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/140.png,images/Raw/Hybrid Images/GPT-Image2-fake/140.png,941,1538,PNG,RGB,81568e286dfeb200de71de7a8afd6d37d3b6e28d8e6534074738f14007c2b94e,true
MLLM_HYB_GPT-Image2-fake_141,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/141.png,images/Raw/Hybrid Images/GPT-Image2-fake/141.png,941,1538,PNG,RGB,c87775b8760e5c302b3fed3c0ac914e5bc18b5e6bada9dc2510dd221daf6c3ae,true
MLLM_HYB_GPT-Image2-fake_142,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/142.png,images/Raw/Hybrid Images/GPT-Image2-fake/142.png,1122,1290,PNG,RGB,6e4f7f81e4f03c56cd3e90cb8f44f770b23761c9f4f1f7de2bdaa0d21a523fa7,true
MLLM_HYB_GPT-Image2-fake_143,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/143.png,images/Raw/Hybrid Images/GPT-Image2-fake/143.png,941,1538,PNG,RGB,1aa8a307eb70782d9853c28e0e4248c5fac78f1b5130f402d7592c7d47ad08bd,true
MLLM_HYB_GPT-Image2-fake_144,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/144.png,images/Raw/Hybrid Images/GPT-Image2-fake/144.png,941,1538,PNG,RGB,26d65554aba86aafa35255a49f1a69f0449ce572b27c8a2a0095054dc64e7e00,true
MLLM_HYB_GPT-Image2-fake_145,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/145.png,images/Raw/Hybrid Images/GPT-Image2-fake/145.png,941,1538,PNG,RGB,65e968c08eeaba5d406a8c8d088b95a936b5708d711894adeb3293bef2b263af,true
MLLM_HYB_GPT-Image2-fake_146,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/146.png,images/Raw/Hybrid Images/GPT-Image2-fake/146.png,941,1538,PNG,RGB,1c8d6108bdc9cdce657f9fd56b65e2b0853b4f1ebf0f86cc8ae4df749d60c354,true
MLLM_HYB_GPT-Image2-fake_147,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/147.png,images/Raw/Hybrid Images/GPT-Image2-fake/147.png,941,1538,PNG,RGB,1b1d7cb1f180858fc44ef6a0907d55ff41f4363352594fcfb44038b39218d54a,true
MLLM_HYB_GPT-Image2-fake_148,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/148.png,images/Raw/Hybrid Images/GPT-Image2-fake/148.png,941,1538,PNG,RGB,a0fdbb479c11484013b70f2e1176d6ac3d0aa4dd66fbb165eef516e80df13045,true
MLLM_HYB_GPT-Image2-fake_149,zr-zhang/MLLM-Generated-Image-Detection-Dataset,1498eead24292a9a2d134476b2c559193b68b9de,apache-2.0,2026-08-26,Hybrid Images,GPT-Image2-fake,1,GPT Image 2,data/external_v2/public/mllm/raw/Hybrid Images/GPT-Image2-fake/149.png,images/Raw/Hybrid Images/GPT-Image2-fake/149.png,941,1538,PNG,RGB,fe52cc9c1d5778dcd5973ed6f6dcb3e460413b2b716cb7dfd6569931a7cd5c03,true
